cutoff,inventory,architecture,atom_count,prime_density_matched,encoder_or_architecture_target_calls,support_loaded_post_freeze,primitive_ledger_clean,whole_operator_compact,whole_operator_s1_sigma2,mixed_primitives,selectivity_credit,proves_too_much
127,prime_evaluator,disjoint_finite_code_cycles,31,True,0,True,True,False,False,False,False,True
127,prime_evaluator,shared_trie_return,31,True,0,True,False,False,False,True,False,True
127,prime_evaluator,countable_atom_diagonal,31,True,0,True,True,True,True,False,False,True
127,composite_control,disjoint_finite_code_cycles,95,False,0,True,True,False,False,False,False,True
127,composite_control,shared_trie_return,95,False,0,True,False,False,False,True,False,True
127,composite_control,countable_atom_diagonal,95,False,0,True,True,True,True,False,False,True
127,square_control,disjoint_finite_code_cycles,10,False,0,True,True,False,False,False,False,True
127,square_control,shared_trie_return,10,False,0,True,False,False,False,True,False,True
127,square_control,countable_atom_diagonal,10,False,0,True,True,True,True,False,False,True
127,fibonacci_control,disjoint_finite_code_cycles,9,False,0,True,True,False,False,False,False,True
127,fibonacci_control,shared_trie_return,9,False,0,True,False,False,False,True,False,True
127,fibonacci_control,countable_atom_diagonal,9,False,0,True,True,True,True,False,False,True
127,matched_density_seeded_random,disjoint_finite_code_cycles,31,True,0,True,True,False,False,False,False,True
127,matched_density_seeded_random,shared_trie_return,31,True,0,True,False,False,False,True,False,True
127,matched_density_seeded_random,countable_atom_diagonal,31,True,0,True,True,True,True,False,False,True
127,matched_density_hash,disjoint_finite_code_cycles,31,True,0,True,True,False,False,False,False,True
127,matched_density_hash,shared_trie_return,31,True,0,True,False,False,False,True,False,True
127,matched_density_hash,countable_atom_diagonal,31,True,0,True,True,True,True,False,False,True
127,arbitrary_decidable_modular,disjoint_finite_code_cycles,54,False,0,True,True,False,False,False,False,True
127,arbitrary_decidable_modular,shared_trie_return,54,False,0,True,False,False,False,True,False,True
127,arbitrary_decidable_modular,countable_atom_diagonal,54,False,0,True,True,True,True,False,False,True
511,prime_evaluator,disjoint_finite_code_cycles,97,True,0,True,True,False,False,False,False,True
511,prime_evaluator,shared_trie_return,97,True,0,True,False,False,False,True,False,True
511,prime_evaluator,countable_atom_diagonal,97,True,0,True,True,True,True,False,False,True
511,composite_control,disjoint_finite_code_cycles,413,False,0,True,True,False,False,False,False,True
511,composite_control,shared_trie_return,413,False,0,True,False,False,False,True,False,True
511,composite_control,countable_atom_diagonal,413,False,0,True,True,True,True,False,False,True
511,square_control,disjoint_finite_code_cycles,21,False,0,True,True,False,False,False,False,True
511,square_control,shared_trie_return,21,False,0,True,False,False,False,True,False,True
511,square_control,countable_atom_diagonal,21,False,0,True,True,True,True,False,False,True
511,fibonacci_control,disjoint_finite_code_cycles,12,False,0,True,True,False,False,False,False,True
511,fibonacci_control,shared_trie_return,12,False,0,True,False,False,False,True,False,True
511,fibonacci_control,countable_atom_diagonal,12,False,0,True,True,True,True,False,False,True
511,matched_density_seeded_random,disjoint_finite_code_cycles,97,True,0,True,True,False,False,False,False,True
