left_label,right_label,expected_same,product_trace,exact
1,1,True,1,True
1,2,False,0,True
1,3,False,0,True
1,4,False,0,True
1,5,False,0,True
1,6,False,0,True
1,7,False,0,True
1,8,False,0,True
1,9,False,0,True
1,10,False,0,True
1,11,False,0,True
1,12,False,0,True
1,13,False,0,True
1,14,False,0,True
1,15,False,0,True
1,16,False,0,True
1,17,False,0,True
1,18,False,0,True
1,19,False,0,True
1,20,False,0,True
1,21,False,0,True
1,22,False,0,True
1,23,False,0,True
1,24,False,0,True
1,25,False,0,True
1,26,False,0,True
1,27,False,0,True
1,28,False,0,True
1,29,False,0,True
1,30,False,0,True
2,1,False,0,True
2,2,True,1,True
2,3,False,0,True
2,4,False,0,True
2,5,False,0,True
2,6,False,0,True
2,7,False,0,True
2,8,False,0,True
2,9,False,0,True
2,10,False,0,True
2,11,False,0,True
2,12,False,0,True
2,13,False,0,True
2,14,False,0,True
2,15,False,0,True
2,16,False,0,True
2,17,False,0,True
2,18,False,0,True
2,19,False,0,True
2,20,False,0,True
2,21,False,0,True
2,22,False,0,True
2,23,False,0,True
2,24,False,0,True
2,25,False,0,True
2,26,False,0,True
2,27,False,0,True
2,28,False,0,True
2,29,False,0,True
2,30,False,0,True
3,1,False,0,True
3,2,False,0,True
3,3,True,1,True
3,4,False,0,True
3,5,False,0,True
3,6,False,0,True
3,7,False,0,True
3,8,False,0,True
3,9,False,0,True
3,10,False,0,True
3,11,False,0,True
3,12,False,0,True
3,13,False,0,True
3,14,False,0,True
3,15,False,0,True
3,16,False,0,True
3,17,False,0,True
3,18,False,0,True
3,19,False,0,True
3,20,False,0,True
3,21,False,0,True
3,22,False,0,True
3,23,False,0,True
3,24,False,0,True
3,25,False,0,True
3,26,False,0,True
3,27,False,0,True
3,28,False,0,True
3,29,False,0,True
3,30,False,0,True
4,1,False,0,True
4,2,False,0,True
4,3,False,0,True
4,4,True,1,True
4,5,False,0,True
4,6,False,0,True
4,7,False,0,True
4,8,False,0,True
4,9,False,0,True
4,10,False,0,True
4,11,False,0,True
4,12,False,0,True
4,13,False,0,True
4,14,False,0,True
4,15,False,0,True
4,16,False,0,True
4,17,False,0,True
4,18,False,0,True
4,19,False,0,True
4,20,False,0,True
4,21,False,0,True
4,22,False,0,True
4,23,False,0,True
4,24,False,0,True
4,25,False,0,True
4,26,False,0,True
4,27,False,0,True
4,28,False,0,True
4,29,False,0,True
4,30,False,0,True
5,1,False,0,True
5,2,False,0,True
5,3,False,0,True
5,4,False,0,True
5,5,True,1,True
5,6,False,0,True
5,7,False,0,True
5,8,False,0,True
5,9,False,0,True
5,10,False,0,True
5,11,False,0,True
5,12,False,0,True
5,13,False,0,True
5,14,False,0,True
5,15,False,0,True
5,16,False,0,True
5,17,False,0,True
5,18,False,0,True
5,19,False,0,True
5,20,False,0,True
5,21,False,0,True
5,22,False,0,True
5,23,False,0,True
5,24,False,0,True
5,25,False,0,True
5,26,False,0,True
5,27,False,0,True
5,28,False,0,True
5,29,False,0,True
5,30,False,0,True
6,1,False,0,True
6,2,False,0,True
6,3,False,0,True
6,4,False,0,True
6,5,False,0,True
6,6,True,1,True
6,7,False,0,True
6,8,False,0,True
6,9,False,0,True
6,10,False,0,True
6,11,False,0,True
6,12,False,0,True
6,13,False,0,True
6,14,False,0,True
6,15,False,0,True
6,16,False,0,True
6,17,False,0,True
6,18,False,0,True
6,19,False,0,True
6,20,False,0,True
6,21,False,0,True
6,22,False,0,True
6,23,False,0,True
6,24,False,0,True
6,25,False,0,True
6,26,False,0,True
6,27,False,0,True
6,28,False,0,True
6,29,False,0,True
6,30,False,0,True
7,1,False,0,True
7,2,False,0,True
7,3,False,0,True
7,4,False,0,True
7,5,False,0,True
7,6,False,0,True
7,7,True,1,True
7,8,False,0,True
7,9,False,0,True
7,10,False,0,True
7,11,False,0,True
7,12,False,0,True
7,13,False,0,True
7,14,False,0,True
7,15,False,0,True
7,16,False,0,True
7,17,False,0,True
7,18,False,0,True
7,19,False,0,True
7,20,False,0,True
7,21,False,0,True
7,22,False,0,True
7,23,False,0,True
7,24,False,0,True
7,25,False,0,True
7,26,False,0,True
7,27,False,0,True
7,28,False,0,True
7,29,False,0,True
7,30,False,0,True
8,1,False,0,True
8,2,False,0,True
8,3,False,0,True
8,4,False,0,True
8,5,False,0,True
8,6,False,0,True
8,7,False,0,True
8,8,True,1,True
8,9,False,0,True
8,10,False,0,True
8,11,False,0,True
8,12,False,0,True
8,13,False,0,True
8,14,False,0,True
8,15,False,0,True
8,16,False,0,True
8,17,False,0,True
8,18,False,0,True
8,19,False,0,True
8,20,False,0,True
8,21,False,0,True
8,22,False,0,True
8,23,False,0,True
8,24,False,0,True
8,25,False,0,True
8,26,False,0,True
8,27,False,0,True
8,28,False,0,True
8,29,False,0,True
8,30,False,0,True
9,1,False,0,True
9,2,False,0,True
9,3,False,0,True
9,4,False,0,True
9,5,False,0,True
9,6,False,0,True
9,7,False,0,True
9,8,False,0,True
9,9,True,1,True
9,10,False,0,True
9,11,False,0,True
9,12,False,0,True
9,13,False,0,True
9,14,False,0,True
9,15,False,0,True
9,16,False,0,True
9,17,False,0,True
9,18,False,0,True
9,19,False,0,True
9,20,False,0,True
9,21,False,0,True
9,22,False,0,True
9,23,False,0,True
9,24,False,0,True
9,25,False,0,True
9,26,False,0,True
9,27,False,0,True
9,28,False,0,True
9,29,False,0,True
