label,source_cover_atom,postfreeze_trial_atom,agreement,prime_table_used
1,False,False,True,False
2,True,True,True,False
3,True,True,True,False
4,False,False,True,False
5,True,True,True,False
6,False,False,True,False
7,True,True,True,False
8,False,False,True,False
9,False,False,True,False
10,False,False,True,False
11,True,True,True,False
12,False,False,True,False
13,True,True,True,False
14,False,False,True,False
15,False,False,True,False
16,False,False,True,False
17,True,True,True,False
18,False,False,True,False
19,True,True,True,False
20,False,False,True,False
21,False,False,True,False
22,False,False,True,False
23,True,True,True,False
24,False,False,True,False
25,False,False,True,False
26,False,False,True,False
27,False,False,True,False
28,False,False,True,False
29,True,True,True,False
30,False,False,True,False
31,True,True,True,False
32,False,False,True,False
33,False,False,True,False
34,False,False,True,False
35,False,False,True,False
36,False,False,True,False
37,True,True,True,False
38,False,False,True,False
39,False,False,True,False
40,False,False,True,False
41,True,True,True,False
42,False,False,True,False
43,True,True,True,False
44,False,False,True,False
45,False,False,True,False
46,False,False,True,False
47,True,True,True,False
48,False,False,True,False
49,False,False,True,False
50,False,False,True,False
51,False,False,True,False
52,False,False,True,False
53,True,True,True,False
54,False,False,True,False
55,False,False,True,False
56,False,False,True,False
57,False,False,True,False
58,False,False,True,False
59,True,True,True,False
60,False,False,True,False
61,True,True,True,False
62,False,False,True,False
63,False,False,True,False
64,False,False,True,False
65,False,False,True,False
66,False,False,True,False
67,True,True,True,False
68,False,False,True,False
69,False,False,True,False
70,False,False,True,False
71,True,True,True,False
72,False,False,True,False
73,True,True,True,False
74,False,False,True,False
75,False,False,True,False
76,False,False,True,False
77,False,False,True,False
78,False,False,True,False
79,True,True,True,False
80,False,False,True,False
81,False,False,True,False
82,False,False,True,False
83,True,True,True,False
84,False,False,True,False
85,False,False,True,False
86,False,False,True,False
87,False,False,True,False
88,False,False,True,False
89,True,True,True,False
90,False,False,True,False
91,False,False,True,False
92,False,False,True,False
93,False,False,True,False
94,False,False,True,False
95,False,False,True,False
96,False,False,True,False
97,True,True,True,False
98,False,False,True,False
99,False,False,True,False
100,False,False,True,False
101,True,True,True,False
102,False,False,True,False
103,True,True,True,False
104,False,False,True,False
105,False,False,True,False
106,False,False,True,False
107,True,True,True,False
108,False,False,True,False
109,True,True,True,False
110,False,False,True,False
111,False,False,True,False
112,False,False,True,False
113,True,True,True,False
114,False,False,True,False
115,False,False,True,False
116,False,False,True,False
117,False,False,True,False
118,False,False,True,False
119,False,False,True,False
120,False,False,True,False
121,False,False,True,False
122,False,False,True,False
123,False,False,True,False
124,False,False,True,False
125,False,False,True,False
126,False,False,True,False
127,True,True,True,False
128,False,False,True,False
129,False,False,True,False
130,False,False,True,False
131,True,True,True,False
132,False,False,True,False
133,False,False,True,False
134,False,False,True,False
135,False,False,True,False
136,False,False,True,False
137,True,True,True,False
138,False,False,True,False
139,True,True,True,False
140,False,False,True,False
141,False,False,True,False
142,False,False,True,False
143,False,False,True,False
144,False,False,True,False
145,False,False,True,False
146,False,False,True,False
147,False,False,True,False
148,False,False,True,False
149,True,True,True,False
150,False,False,True,False
151,True,True,True,False
152,False,False,True,False
153,False,False,True,False
154,False,False,True,False
155,False,False,True,False
156,False,False,True,False
157,True,True,True,False
158,False,False,True,False
159,False,False,True,False
160,False,False,True,False
161,False,False,True,False
162,False,False,True,False
163,True,True,True,False
164,False,False,True,False
165,False,False,True,False
166,False,False,True,False
167,True,True,True,False
168,False,False,True,False
169,False,False,True,False
170,False,False,True,False
171,False,False,True,False
172,False,False,True,False
173,True,True,True,False
174,False,False,True,False
175,False,False,True,False
176,False,False,True,False
177,False,False,True,False
178,False,False,True,False
179,True,True,True,False
180,False,False,True,False
181,True,True,True,False
182,False,False,True,False
183,False,False,True,False
184,False,False,True,False
185,False,False,True,False
186,False,False,True,False
187,False,False,True,False
188,False,False,True,False
189,False,False,True,False
190,False,False,True,False
191,True,True,True,False
192,False,False,True,False
193,True,True,True,False
194,False,False,True,False
195,False,False,True,False
196,False,False,True,False
197,True,True,True,False
198,False,False,True,False
199,True,True,True,False
200,False,False,True,False
201,False,False,True,False
202,False,False,True,False
203,False,False,True,False
204,False,False,True,False
205,False,False,True,False
206,False,False,True,False
207,False,False,True,False
208,False,False,True,False
209,False,False,True,False
210,False,False,True,False
211,True,True,True,False
212,False,False,True,False
213,False,False,True,False
214,False,False,True,False
215,False,False,True,False
216,False,False,True,False
217,False,False,True,False
218,False,False,True,False
219,False,False,True,False
220,False,False,True,False
221,False,False,True,False
222,False,False,True,False
223,True,True,True,False
224,False,False,True,False
225,False,False,True,False
226,False,False,True,False
227,True,True,True,False
228,False,False,True,False
229,True,True,True,False
230,False,False,True,False
231,False,False,True,False
232,False,False,True,False
233,True,True,True,False
234,False,False,True,False
235,False,False,True,False
236,False,False,True,False
237,False,False,True,False
238,False,False,True,False
239,True,True,True,False
240,False,False,True,False
241,True,True,True,False
242,False,False,True,False
243,False,False,True,False
244,False,False,True,False
245,False,False,True,False
246,False,False,True,False
247,False,False,True,False
248,False,False,True,False
249,False,False,True,False
250,False,False,True,False
251,True,True,True,False
252,False,False,True,False
253,False,False,True,False
254,False,False,True,False
255,False,False,True,False
256,False,False,True,False
