query_id	exact_frozen_query	retrieved_at_utc	interface	http_status	candidate_doi	candidate_title	candidate_year	decision	matched_source_id	decision_reason
Q01	site:aps.org OR site:aip.org three disk scattering symbolic dynamics periodic orbit physical flight time	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1063/1.56995	Real-time orbit feedback at the APS	1998	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q02	site:sciencedirect.com three-disk scattering periodic orbit zeta function transfer operator	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.3390/math8050685	Orbit Growth of Periodic-Finite-Type Shifts via Artin–Mazur Zeta Function	2020	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q03	site:springer.com open billiards symbolic coding Poincare map roof function	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/978-1-349-06901-9_10	Open-Type Roof Trusses	1985	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q04	site:projecteuclid.org open billiards three obstacles dynamical zeta transfer operator	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/978-3-319-77661-3_2	Smooth expanding maps: The spectrum of the transfer operator	2018	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q05	"""Scattering from a classically chaotic repellor"" Gaspard Rice DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1063/1.456017	Scattering from a classically chaotic repellor	1989	RETAIN_EXISTING_INVENTORY_RECORD	P30-S01	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q06	"""Periodic orbit theory of chaotic scattering"" three disk DOI Cvitanovic Eckhardt"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/b978-0-444-81588-0.50006-7	Periodic-Orbit Theory	1993	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q07	"""Cycle expansions for classical smooth flows"" three disk scattering DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1088/0305-4470/24/5/005	Periodic orbit expansions for classical smooth flows	1991	RETAIN_EXISTING_INVENTORY_RECORD	P30-S05	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q08	site:journals.aps.org three-disk scattering cycle expansion Cvitanovic	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1117/12.162683	&lt;title&gt;Cycle expansion for power spectrum&lt;/title&gt;	1993	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q09	"site:journals.aps.org/prl ""Periodic-orbit quantization of chaotic systems"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1103/physrevlett.63.823	Periodic-orbit quantization of chaotic systems	1989	RETAIN_EXISTING_INVENTORY_RECORD	P30-S04	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q10	"site:iopscience.iop.org ""Periodic orbit expansions for classical smooth flows"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1088/0305-4470/24/5/005	Periodic orbit expansions for classical smooth flows	1991	RETAIN_EXISTING_INVENTORY_RECORD	P30-S05	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
