source_id	component_or_claim_role	exact_passage_locator	passage_status	hypothesis_or_scope	transfer_boundary	evidence_note
P30-S01	Classical three-hard-disk model, collision coding, physical geometry, and geometrical lengths		INCONCLUSIVE	physical_object_anchor	No project roof-ledger fidelity, operator space, or determinant certificate	anchor:none; correction DOI 10.1063/1.457669 mandatory for formula-level use; COI unknown and retraction not checked
P30-S02	Semiclassical periodic-orbit and Ruelle-zeta construction as a typed comparator		INCONCLUSIVE	semiclassical_type_boundary	No identification with the classical physical-roof determinant	anchor:none; correction DOI 10.1063/1.457669 mandatory for affected use; COI unknown and retraction not checked
P30-S03	Exact quantum S-matrix or multiscattering determinant as a typed comparator		INCONCLUSIVE	exact_quantum_type_boundary	No substitution for the classical transfer determinant or proof of roof specificity	anchor:none; correction DOI 10.1063/1.457670 mandatory for affected use; COI unknown and retraction not checked
P30-S04	Periodic-orbit and cycle organization in three-disk chaotic scattering		INCONCLUSIVE	cycle_organization_component	No nuclearity, common coefficient basis, or four-error certificate	anchor:none; short physics article and abstract-level scope; COI unknown and retraction not checked
P30-S05	Cycle-expansion organization and periodic-orbit weights for classical smooth flows		INCONCLUSIVE	cycle_expansion_component	No project-specific convergence or coefficient accuracy	anchor:none; example behavior does not instantiate project cutoffs; COI unknown and retraction not checked
P30-S06	N-disk itineraries and distinctions among quantum, semiclassical, and classical periodic-orbit objects		INCONCLUSIVE	typed_object_firewall	No transfer of quantum trace-class determinant results to the frozen classical roof operator	anchor:none; detailed review or primary scope but determinant types remain separate; COI unknown and retraction not checked
P30-S07	General Markov or symbolic coding interface for a hyperbolic flow and return-time roof		INCONCLUSIVE	coding_interface_component	No identification of the exact three-disk section, branches, or pointwise flight roof	anchor:none; general-flow applicability requires exact object matching; COI unknown and retraction not checked
P30-S08	General Axiom-A suspension, periodic-orbit, and thermodynamic framework		INCONCLUSIVE	general_flow_transfer_boundary	No automatic applicability to the open three-disk repeller or its function space	anchor:none; exact open-billiard hypotheses unresolved; COI unknown and retraction not checked
P30-S09	Rigorous obstacle-scattering trajectory geometry and periodic-ray framework		INCONCLUSIVE	open_obstacle_geometry_anchor	No Paper-30 operator, coefficient window, determinant, or tolerance	anchor:none; wave-decay framework does not instantiate the project operator; COI unknown and retraction not checked
P30-S10	Primary bridge among obstacle trajectories, zeta functions, and scattering poles		INCONCLUSIVE	zeta_scattering_context_only	No peer-reviewed-journal weight, roof fidelity, or cross-roof nontransfer	anchor:none; proceedings article not counted as peer reviewed; COI unknown and retraction not checked
P30-S11	Direct Ruelle-operator and return-time-weight support for planar open billiards under stated hypotheses		INCONCLUSIVE	closest_operator_component	No applicability without matching geometry, visibility, coding, normalization, roof, and function space	anchor:none; exact d=6a hypothesis map and operator serialization absent; COI unknown and retraction not checked
P30-S12	Conditional spectral estimates for transfer operators with general potentials		INCONCLUSIVE	hypothesis_limited_spectral_component	No theorem for every open billiard or choice of rank, orbit cutoff, basis, or window	anchor:none; abstract-level scope and exact object transfer unresolved; COI unknown and retraction not checked
P30-S13	Periodic-zeta and transfer identities for the stated expanding or Anosov systems		INCONCLUSIVE	roof_agnostic_calibration_anchor	No physical specificity because consistent control roofs can share the identity	anchor:none; theorem hypotheses and project roof/operator remain uninstantiated; COI unknown and retraction not checked
P30-S14	Fredholm-type dynamical determinant machinery under stated contraction or smoothness hypotheses		INCONCLUSIVE	determinant_algebra_component	No nuclearity of an unconstructed project operator or distinction of physical from control roofs	anchor:none; full-text scope inspected but no exact project applicability locator; COI unknown and retraction not checked
P30-S15	Meromorphic continuation of generalized zeta functions in the stated Axiom-A setting		INCONCLUSIVE	meromorphicity_component	No pointwise three-disk roof or lawful finite-rank or orbit comparison	anchor:none; general theorem requires object-specific hypothesis match; COI unknown and retraction not checked
P30-S16	Meromorphic zeta and operator machinery for real-analytic flows and isolated compact hyperbolic sets		INCONCLUSIVE	analytic_operator_component	No applicability without analytic or model hypotheses and no complete four-error interface	anchor:none; exact open-billiard domain and constants unresolved; COI unknown and retraction not checked
P30-S17	Meromorphicity for the stated smooth Anosov setting with the first part reported unaffected		INCONCLUSIVE	correction_bound_general_theory	No affected spectral-gap use without P30-S18 and no direct three-disk theorem	anchor:none; EXACT_CORRECTION_BOUND and mandatory P30-S18 for affected Section 7 use; COI unknown and retraction not checked
P30-S18	Mandatory correction boundary for P30-S17 and statement that first-part meromorphicity is unaffected		INCONCLUSIVE	correction_companion	No independent peer-reviewed support or physical-roof evidence	anchor:none; first-party non-peer-reviewed erratum; COI unknown and retraction not checked
P30-S19	Explicit a priori eigenvalue bounds on eligible transfer-operator spaces		INCONCLUSIVE	tail_error_component	No project tail bound before the operator space, constants, and hypotheses are instantiated	anchor:none; metadata or abstract scope and constants not frozen; COI unknown and retraction not checked
P30-S20	Explicit spectral estimates on holomorphic or Bergman spaces		INCONCLUSIVE	rank_error_component	No proof that the three-disk operator or chosen basis meets those hypotheses	anchor:none; exact holomorphic domain and basis map absent; COI unknown and retraction not checked
P30-S21	Spectral-Galerkin error analysis for one-dimensional uniformly expanding Markov maps		INCONCLUSIVE	projection_error_component	No automatic transplantation to an open-billiard flow operator without a comparison map	anchor:none; map-class mismatch and exact coefficient map unresolved; COI unknown and retraction not checked
P30-S22	Numerical and quadrature error analysis for eligible trace-class integral-operator determinants		INCONCLUSIVE	determinant_evaluation_component	No trace-class proof, orbit-projection coefficient identity, or complete four-error contract	anchor:none; numerical-method-only support and official 2010 issue year; COI unknown and retraction not checked
P30-S23	Periodic-data obstruction to cohomological triviality in stated hyperbolic or symbolic systems		INCONCLUSIVE	negative_nontransfer_logic_anchor	No global positive cohomology conclusion from a finite orbit sample	anchor:none; exact theorem hypotheses and project periodic data unverified; COI unknown and retraction not checked
P30-S24	Regularity and perturbative foundations for the Livsic cohomology equation		INCONCLUSIVE	cohomology_hypothesis_component	No replacement of all-periodic-sum hypotheses by finite or shuffled agreement	anchor:none; general Anosov scope requires exact project mapping; COI unknown and retraction not checked
P30-S25	Strong matrix-cocycle periodic-data and coboundary context		INCONCLUSIVE	stronger_than_needed_context	No necessity for the scalar roof problem or project-specific nontransfer	anchor:none; stronger noncommutative setting supplies no exact three-disk data; COI unknown and retraction not checked
P30-S26	Current abelian Livsic extensions under stated homologically full transitive Anosov-flow hypotheses		INCONCLUSIVE	current_scope_boundary	No direct open-three-disk theorem or positive conclusion from the finite cutoff	anchor:none; 2026 issue with 2025 online-first chronology and exact open-repeller applicability unresolved; COI unknown and retraction not checked
P30-C01	published correction record for P30-S01/P30-S02	DOI 10.1063/1.457669; Journal of Chemical Physics 91(5), 3279	FINALIZED	publication-level correction provenance only	does not finalize a theorem or project-specific formula passage	Crossref DOI metadata and AIP DOI resolution verified on 2026-09-04
P30-C02	published correction record for P30-S03	DOI 10.1063/1.457670; Journal of Chemical Physics 91(5), 3280	FINALIZED	publication-level correction provenance only	does not finalize a theorem or project-specific formula passage	Crossref DOI metadata and AIP DOI resolution verified on 2026-09-04
