seed,overlap,selected,support_accuracy
19100,21,97,0.21649484536082475
19101,15,97,0.15463917525773196
19102,22,97,0.2268041237113402
19103,13,97,0.13402061855670103
19104,17,97,0.17525773195876287
19105,14,97,0.14432989690721648
19106,21,97,0.21649484536082475
19107,20,97,0.20618556701030927
19108,22,97,0.2268041237113402
19109,21,97,0.21649484536082475
19110,14,97,0.14432989690721648
19111,19,97,0.1958762886597938
19112,19,97,0.1958762886597938
19113,18,97,0.18556701030927836
19114,18,97,0.18556701030927836
19115,21,97,0.21649484536082475
19116,17,97,0.17525773195876287
19117,16,97,0.16494845360824742
19118,19,97,0.1958762886597938
19119,17,97,0.17525773195876287
19120,20,97,0.20618556701030927
19121,20,97,0.20618556701030927
19122,21,97,0.21649484536082475
19123,15,97,0.15463917525773196
19124,17,97,0.17525773195876287
19125,20,97,0.20618556701030927
19126,12,97,0.12371134020618557
19127,15,97,0.15463917525773196
19128,18,97,0.18556701030927836
19129,17,97,0.17525773195876287
19130,21,97,0.21649484536082475
19131,15,97,0.15463917525773196
