control_id,relator,canonical_cyclic_gbs_split_detected,paper38_object_status,parsed_p,parsed_q
R00,vuvUVuuvvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R01,vUUUUVuuvUvUVu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R02,vuVUVVuVuuvv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R03,uuuvvvvUVVUvv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R04,VUvvuvuvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R05,uVuuVuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R06,VUUVUVU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R07,uvUvuvvvUUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R08,UVVUvvUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R09,vUVUVVVVuuuVU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R10,VVUvvuu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R11,uVuvvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R12,UUUUVVUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R13,UUVuuuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R14,uuuvuVUUUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R15,vUVuVUVVVVu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R16,UUvUvuuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R17,UvuuVVUVU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R18,uVVVUUVUVUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R19,UVVUUvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R20,Vuuvvuvvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R21,UVuVuuvvvuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R22,UUVVuvUUv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R23,vUvUUvUVuvuu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R24,uVVVVUVUVV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R25,uuvvuVUvUUUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R26,uuVUvUvUvUVVVV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R27,vUvUvvvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R28,uVuvUvvuvvUVV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R29,VUVUVUVVuvuVU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R30,vUVUvvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R31,vvvvUv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R32,VVuVUUvUUvvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R33,uVuVuuuuvvuVuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R34,uVVUvvuuu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R35,vuvUVU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R36,VuVUUUVVUUU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R37,vvvuVuuvvvv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R38,uVuVUvuvuVuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R39,vvvvUVVUUvUvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R40,uuuuvUVUVuVuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R41,UvuuVUv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R42,UvvuVV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R43,UvvuvuvUvuuuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R44,uvuvUVu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R45,VuvvvUUVUvUU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R46,vuvvvvv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R47,uvvuuuuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R48,uuuVVu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R49,VVVUvUVuVuvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R50,UUvUvUUUvUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R51,uuvuuVUUV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R52,uvUvvUvUvuu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R53,vvvvuVUvUv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R54,vuuvvUvvuuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R55,UUUUVuVUUU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R56,UUvUvUvU,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R57,uVuVUvvuuu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R58,vvvUUUvvvUv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R59,uVVuvvu,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R60,uVUVuuuvuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R61,uVuuuuV,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R62,uuvUVuuvuv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
R63,uvUVVuuuvvuvv,false,INELIGIBLE_NO_FROZEN_CYCLIC_HNN_SPLIT,,
