schema_version,row_id,artifact,expected_rows,expected_columns,expected_negative_rows,oracle_class,canonical_order_key,scope_token,artifact_order_index,status,notes
paper17-open-groupoid-controls/1,TS-0001,results/range_first_handedness_controls.csv,1662,17,36,D3_RELATION_AND_LEFT_ACTION,C17_1_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,1,PASS,
paper17-open-groupoid-controls/1,TS-0002,results/action_blind_open_records.csv,1520,16,0,C4_BITSET_OPEN_QUANTALE,C17_2_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,2,PASS,
paper17-open-groupoid-controls/1,TS-0003,results/connected_disconnected_firewall.csv,19,16,4,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,C17_3_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,3,PASS,
paper17-open-groupoid-controls/1,TS-0004,results/domain_guard_controls.csv,25,15,10,OWNER_DOMAIN_POLICY,C17_4_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,4,PASS,
paper17-open-groupoid-controls/1,TS-0005,results/quantale_localic_firewall.csv,21,18,7,BARE_Q_QH_LC_CONJUNCTION,C17_5_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,5,PASS,
paper17-open-groupoid-controls/1,TS-0006,results/actual_standard_owner_controls.csv,18,17,11,CANONICAL_OWNER_PACKET_REGISTRY,C17_6_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,6,PASS,
paper17-open-groupoid-controls/1,TS-0007,results/dilation_strict_marker_controls.csv,140,19,5,INTEGER_CROSS_MULTIPLICATION_DILATION,C17_7_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,7,PASS,
paper17-open-groupoid-controls/1,TS-0008,results/fixed_prime_provenance_controls.csv,21,17,11,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,C17_8_FAMILY_ORDER,COUNT_AND_SERIALIZATION_ONLY,8,PASS,
paper17-open-groupoid-controls/1,TS-0009,results/target_summary.csv,10,12,0,RAW_COUNT_SCHEMA_INVENTORY,TARGET_SUMMARY_ROW_ORDER,COUNT_AND_SERIALIZATION_ONLY,9,PASS,
paper17-open-groupoid-controls/1,TS-0010,PACKAGE_TOTAL,3436,MIXED,84,RAW_COUNT_SCHEMA_INVENTORY,SECTION_2_ARTIFACT_ORDER,COUNT_AND_SERIALIZATION_ONLY,PACKAGE,PASS,CSV_ARTIFACTS=9;GENERATED_ARTIFACTS=10
