schema_version,row_id,row_family,case_kind,packet_id,owner_token,topology_token,topos_token,quantale_token,base_frame_token,comparison_field,subject_value,oracle_value,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,AS-0001,OWNER_RECORD,RECEIPT,ACTUAL,ACTUAL_INDISCRETE_ORBIT,INDISCRETE,Set,O(R),2,,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0002,OWNER_RECORD,RECEIPT,STANDARD,STANDARD_CIRCLE,STANDARD_CIRCLE,BZ,O(S_LxR),O(S_L),,owner=STANDARD_CIRCLE;topology=STANDARD_CIRCLE;topos=BZ;quantale=O(S_LxR);base=O(S_L),owner=STANDARD_CIRCLE;topology=STANDARD_CIRCLE;topos=BZ;quantale=O(S_LxR);base=O(S_L),,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0003,FIELD_COMPARISON,RECEIPT,CROSS_PACKET,,,,,,owner,owner:ACTUAL_INDISCRETE_ORBIT|STANDARD_CIRCLE,owner:ACTUAL_INDISCRETE_ORBIT|STANDARD_CIRCLE,,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0004,FIELD_COMPARISON,RECEIPT,CROSS_PACKET,,,,,,topology,topology:INDISCRETE|STANDARD_CIRCLE,topology:INDISCRETE|STANDARD_CIRCLE,,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0005,FIELD_COMPARISON,RECEIPT,CROSS_PACKET,,,,,,topos,topos:Set|BZ,topos:Set|BZ,,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0006,FIELD_COMPARISON,RECEIPT,CROSS_PACKET,,,,,,quantale,quantale:O(R)|O(S_LxR),quantale:O(R)|O(S_LxR),,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0007,FIELD_COMPARISON,RECEIPT,CROSS_PACKET,,,,,,base,base:2|O(S_L),base:2|O(S_L),,,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0008,OWNER_SPLICE_ATTACK,NEGATIVE,ACTUAL,STANDARD_CIRCLE,INDISCRETE,Set,O(R),2,owner,owner=STANDARD_CIRCLE;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,true,ACTUAL_PACKET_OWNER_RELABELLED_STANDARD,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0009,OWNER_SPLICE_ATTACK,NEGATIVE,ACTUAL,ACTUAL_INDISCRETE_ORBIT,STANDARD_CIRCLE,Set,O(R),2,topology,owner=ACTUAL_INDISCRETE_ORBIT;topology=STANDARD_CIRCLE;topos=Set;quantale=O(R);base=2,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,true,STANDARD_TOPOLOGY_IMPORTED_ACTUAL,CANONICAL_OWNER_PACKET_REGISTRY,PASS
paper17-open-groupoid-controls/1,AS-0010,OWNER_SPLICE_ATTACK,NEGATIVE,ACTUAL,ACTUAL_INDISCRETE_ORBIT,INDISCRETE,BZ,O(R),2,topos,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=BZ;quantale=O(R);base=2,owner=ACTUAL_INDISCRETE_ORBIT;topology=INDISCRETE;topos=Set;quantale=O(R);base=2,true,STANDARD_TOPOS_SPLICED_ACTUAL,CANONICAL_OWNER_PACKET_REGISTRY,PASS
