hecke_prime,coefficient_index,a_p,a_n,a_pn,p_times_a_n_over_p,hecke_lhs,eigen_rhs,eigen_relation_exact,generic_control_g_n,generic_control_hecke_lhs,generic_control_eigen_rhs,generic_control_residual,generic_control_relation_exact,generic_control_owner_status,evidence_token
2,1,-2,1,-2,0,-2,-2,true,1,-7,-2,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,2,-2,-2,2,2,4,4,true,-7,6,14,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,3,-2,-1,2,0,2,2,true,2,-3,-4,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,4,-2,2,0,-4,-4,-4,true,4,-18,-8,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,5,-2,1,-2,0,-2,-2,true,4,3,-8,11,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,6,-2,2,-2,-2,-4,-4,true,-3,2,6,-4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,7,-2,-2,4,0,4,4,true,-2,7,4,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,8,-2,0,-4,4,0,0,true,-4,7,8,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,9,-2,-2,4,0,4,4,true,3,4,-6,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,10,-2,-2,2,2,4,4,true,3,15,-6,21,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,11,-2,1,-2,0,-2,-2,true,-3,-6,6,-12,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,12,-2,-2,0,4,4,4,true,-2,-11,4,-15,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,13,-2,4,-8,0,-8,-8,true,-1,-6,2,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,14,-2,4,-4,-4,-8,-8,true,7,-13,-14,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,15,-2,-1,2,0,2,2,true,1,-2,-2,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,16,-2,-4,8,0,8,8,true,-1,5,2,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,17,-2,-2,4,0,4,4,true,-7,4,14,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,18,-2,4,-4,-4,-8,-8,true,4,5,-8,13,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,19,-2,0,0,0,0,0,true,-4,3,8,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,20,-2,2,0,-4,-4,-4,true,7,6,-14,20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,21,-2,2,-4,0,-4,-4,true,7,1,-14,15,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,22,-2,-2,2,2,4,4,true,-6,-8,12,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,23,-2,-1,2,0,2,2,true,-1,-3,2,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,24,-2,0,4,-4,0,0,true,-5,2,10,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,25,-2,-4,8,0,8,8,true,-1,3,2,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,26,-2,-8,8,8,16,16,true,-6,2,12,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,27,-2,5,-10,0,-10,-10,true,8,-5,-16,11,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,28,-2,-4,0,8,8,8,true,-9,14,18,-4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,29,-2,0,0,0,0,0,true,0,3,0,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,30,-2,2,-2,-2,-4,-4,true,-2,3,4,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,31,-2,7,-14,0,-14,-14,true,12,-14,-24,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,32,-2,8,-8,-8,-16,-16,true,13,-5,-26,21,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,33,-2,-1,2,0,2,2,true,-5,-2,10,-12,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,34,-2,4,-4,-4,-8,-8,true,4,-23,-8,-15,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,35,-2,-2,4,0,4,4,true,-7,6,14,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,36,-2,-4,0,8,8,8,true,-1,3,2,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,37,-2,3,-6,0,-6,-6,true,5,-10,-10,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,38,-2,0,0,0,0,0,true,3,-3,-6,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,39,-2,-4,8,0,8,8,true,-9,8,18,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,40,-2,0,-4,4,0,0,true,0,13,0,13,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,41,-2,-8,16,0,16,16,true,-12,19,24,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,42,-2,-4,4,4,8,8,true,1,18,-2,20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,43,-2,-6,12,0,12,12,true,-1,17,2,15,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,44,-2,2,0,-4,-4,-4,true,-2,-16,4,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,45,-2,-2,4,0,4,4,true,-2,-1,4,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,46,-2,2,-2,-2,-4,-4,true,-3,-2,6,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,47,-2,8,-16,0,-16,-16,true,11,-21,-22,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,48,-2,4,-8,0,-8,-8,true,6,-22,-12,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,49,-2,-3,6,0,6,6,true,0,11,0,11,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,50,-2,8,-8,-8,-16,-16,true,3,-10,-6,-4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,51,-2,2,-4,0,-4,-4,true,2,-1,-4,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,52,-2,8,0,-16,-16,-16,true,4,-9,-8,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,53,-2,-6,12,0,12,12,true,-1,12,2,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,54,-2,-10,10,10,20,20,true,-5,31,10,21,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,55,-2,1,-2,0,-2,-2,true,-3,-6,6,-12,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,56,-2,0,8,-8,0,0,true,0,-15,0,-15,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,57,-2,0,0,0,0,0,true,-5,2,10,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,58,-2,0,0,0,0,0,true,3,-5,-6,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,59,-2,5,-10,0,-10,-10,true,7,-14,-14,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,60,-2,-2,0,4,4,4,true,1,1,-2,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,61,-2,12,-24,0,-24,-24,true,7,-24,-14,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,62,-2,-14,14,14,28,28,true,-14,41,28,13,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,63,-2,4,-8,0,-8,-8,true,0,-5,0,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
2,64,-2,-8,0,16,16,16,true,-3,26,6,20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,1,-1,1,-1,0,-1,-1,true,1,2,-1,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,2,-1,-2,2,0,2,2,true,-7,-3,7,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,3,-1,-1,-2,3,1,1,true,2,6,-2,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,4,-1,2,-2,0,-2,-2,true,4,-2,-4,2,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,5,-1,1,-1,0,-1,-1,true,4,1,-4,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,6,-1,2,4,-6,-2,-2,true,-3,-17,3,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,7,-1,-2,2,0,2,2,true,-2,7,2,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,8,-1,0,0,0,0,0,true,-4,-5,4,-9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,9,-1,-2,5,-3,2,2,true,3,14,-3,17,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,10,-1,-2,2,0,2,2,true,3,-2,-3,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,11,-1,1,-1,0,-1,-1,true,-3,-5,3,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,12,-1,-2,-4,6,2,2,true,-2,11,2,9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,13,-1,4,-4,0,-4,-4,true,-1,-9,1,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,14,-1,4,-4,0,-4,-4,true,7,1,-7,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,15,-1,-1,-2,3,1,1,true,1,10,-1,11,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,16,-1,-4,4,0,4,4,true,-1,6,1,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,17,-1,-2,2,0,2,2,true,-7,2,7,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,18,-1,4,-10,6,-4,-4,true,4,-14,-4,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,19,-1,0,0,0,0,0,true,-4,-5,4,-9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,20,-1,2,-2,0,-2,-2,true,7,1,-7,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,21,-1,2,4,-6,-2,-2,true,7,-6,-7,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,22,-1,-2,2,0,2,2,true,-6,-2,6,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,23,-1,-1,1,0,1,1,true,-1,4,1,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,24,-1,0,0,0,0,0,true,-5,-17,5,-22,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
