word,hecke_prime,a_p,frozen_s,zeta_repetition_cutoff_R,source_primitive_base_length,source_alpha_period,source_closed_control_period,output_primitive_owner_count,hecke_cycle_degree_pattern,degree_profile_type,hecke_degree_is_zeta_repetition,all_output_owners_primitive_exact,unweighted_output_alpha_period_sum,unweighted_expected_alpha_period_sum,unweighted_alpha_residual,ruelle_source_first_variation,ruelle_hecke_output_first_variation_one_sided,ruelle_naive_a_p_prediction,ruelle_naive_recurrence_residual,ruelle_naive_recurrence_status,selberg_source_first_variation,selberg_hecke_output_first_variation_one_sided,selberg_naive_a_p_prediction,selberg_naive_recurrence_residual,selberg_naive_recurrence_status,ruelle_closed_control_recurrence_residual,selberg_closed_control_recurrence_residual,canonical_inverse_paired_ruelle_first_variation,canonical_inverse_paired_selberg_first_variation,canonical_orientation_pairing_status,formal_no_implication_witness,analytic_evidence_token,finite_period_evidence_token
LLLRLLRLR,2,-2,0.125,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|2,MIXED_DEGREES,false,true,-1.26920930427955,-1.2692093042795514,1.3322676295501878e-15,-0.04759730631719645,-0.0074614110420438695,0.0951946126343929,0.10265602367643677,FAILS_NAIVE_HECKE_RECURRENCE,-0.04761040734085453,-0.007474505582376403,0.09522081468170907,0.10269532026408547,FAILS_NAIVE_HECKE_RECURRENCE,0.006676776831091913,0.0066793326922732765,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,2,-2,0.25,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|2,MIXED_DEGREES,false,true,-1.26920930427955,-1.2692093042795514,1.3322676295501878e-15,-0.026757263516768506,-0.016626102733226705,0.05351452703353701,0.07014062976676372,FAILS_NAIVE_HECKE_RECURRENCE,-0.02676721820446721,-0.01663605554894411,0.05353443640893442,0.07017049195787853,FAILS_NAIVE_HECKE_RECURRENCE,0.004561966409501794,0.004563908654862725,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,2,-2,0.5,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|2,MIXED_DEGREES,false,true,-1.26920930427955,-1.2692093042795514,1.3322676295501878e-15,-0.0067541071890279405,-0.006340414378111049,0.013508214378055881,0.01984862875616693,FAILS_NAIVE_HECKE_RECURRENCE,-0.006756981329769215,-0.00634328844081922,0.01351396265953843,0.019857251100357652,FAILS_NAIVE_HECKE_RECURRENCE,0.0012909604313705858,0.0012915212310768281,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,3,-1,0.125,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,2|2,UNIFORM_NONUNIT,false,true,-0.6346046521397735,-0.6346046521397757,2.220446049250313e-15,-0.04759730631719645,0.013378631758384208,0.04759730631719645,0.03421867455881224,FAILS_NAIVE_HECKE_RECURRENCE,-0.04761040734085453,0.013378633919492722,0.04761040734085453,0.034231773421361814,FAILS_NAIVE_HECKE_RECURRENCE,0.21198882418396559,0.21206997322044435,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_FORCES_A_NONUNIT_LENGTH_KERNEL_SHIFT,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,3,-1,0.25,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,2|2,UNIFORM_NONUNIT,false,true,-0.6346046521397735,-0.6346046521397757,2.220446049250313e-15,-0.026757263516768506,0.0033770535945139594,0.026757263516768506,0.023380209922254546,FAILS_NAIVE_HECKE_RECURRENCE,-0.02676721820446721,0.003377054218507723,0.02676721820446721,0.023390163985959486,FAILS_NAIVE_HECKE_RECURRENCE,0.14484322594302937,0.14490489257061995,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_FORCES_A_NONUNIT_LENGTH_KERNEL_SHIFT,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,3,-1,0.5,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,2|2,UNIFORM_NONUNIT,false,true,-0.6346046521397735,-0.6346046521397757,2.220446049250313e-15,-0.0067541071890279405,0.0001378976036389729,0.0067541071890279405,0.006616209585388968,FAILS_NAIVE_HECKE_RECURRENCE,-0.006756981329769215,0.00013789762965000742,0.006756981329769215,0.006619083700119208,FAILS_NAIVE_HECKE_RECURRENCE,0.040988217943704476,0.04100602343179216,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_FORCES_A_NONUNIT_LENGTH_KERNEL_SHIFT,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,5,1,0.125,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|5,MIXED_DEGREES,false,true,0.6346046521397759,0.6346046521397757,2.220446049250313e-16,-0.04759730631719645,-0.04759730631719651,-0.04759730631719645,6.245004513516506e-17,PASS_NUMERICAL_OBSERVATION,-0.04761040734085453,-0.047610407340854595,-0.04761040734085453,6.245004513516506e-17,PASS_NUMERICAL_OBSERVATION,0.8636810099190471,0.86392194091061,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,5,1,0.25,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|5,MIXED_DEGREES,false,true,0.6346046521397759,0.6346046521397757,2.220446049250313e-16,-0.026757263516768506,-0.02675726351676854,-0.026757263516768506,3.469446951953614e-17,PASS_NUMERICAL_OBSERVATION,-0.02676721820446721,-0.02676721820446724,-0.02676721820446721,3.122502256758253e-17,PASS_NUMERICAL_OBSERVATION,0.49188955365804143,0.4920726227708484,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,5,1,0.5,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,2,1|5,MIXED_DEGREES,false,true,0.6346046521397759,0.6346046521397757,2.220446049250313e-16,-0.0067541071890279405,-0.006754107189027948,-0.0067541071890279405,7.806255641895632e-18,PASS_NUMERICAL_OBSERVATION,-0.006756981329769215,-0.006756981329769224,-0.006756981329769215,8.673617379884035e-18,PASS_NUMERICAL_OBSERVATION,0.1242096407094466,0.1242624968523526,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
LLLRLLRLR,7,-2,0.125,4,7.741533400574188,0.6346046521397757,-3.9314525113346583,4,1|1|3|3,MIXED_DEGREES,false,true,-1.2692093042795514,-1.2692093042795514,0.0,-0.04759730631719645,0.13818806967164612,0.0951946126343929,0.04299345703725323,FAILS_NAIVE_HECKE_RECURRENCE,-0.04761040734085453,0.13822737274226368,0.09522081468170907,0.04300655806055462,FAILS_NAIVE_HECKE_RECURRENCE,0.5243104042849911,0.5244701728473967,0.0,0.0,PROVED_EXACT_ZERO_BEFORE_TRUNCATION_LIMIT,UNWEIGHTED_RELATION_UNDERDETERMINES_LENGTH_KERNEL_MOMENTS,PROVED,NUMERICAL_OBSERVATION
