word,hecke_prime,a_p,hecke_cycle_degree_d,primitive_owner_count_at_degree,base_alpha_period,alpha_period_sum_at_degree,complex_period_sum_real_at_degree,complex_period_sum_imag_at_degree,closed_control_period_sum_at_degree,required_alpha_moment_for_all_s_recurrence,alpha_moment_residual,alpha_moment_status,required_complex_moment_real_for_all_s_recurrence,required_complex_moment_imag_for_all_s_recurrence,complex_moment_residual,complex_moment_status,required_closed_control_moment_for_all_s_recurrence,closed_control_moment_residual,closed_control_moment_status,moment_criterion_scope,period_evidence_token
LLLRLLRLR,2,-2,1,1,0.6346046521397757,0.6346046521397785,0.6346046521397785,1.4588166169384964,7.739080424173321,-1.2692093042795514,1.90381395641933,FAILS_NAIVE_ALL_S_RECURRENCE,-1.2692093042795514,2.917633233876993,2.3984689913594677,FAILS_NAIVE_ALL_S_RECURRENCE,7.862905022669317,0.12382459849599581,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,2,-2,2,1,0.6346046521397757,-1.9038139564193284,-1.9038139564193284,1.4588166169384973,0.1238245984960038,0.0,1.9038139564193284,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,0.0,2.398468991359467,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,0.1238245984960038,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,3,-1,1,0,0.6346046521397757,0,0.0,0.0,0,-0.6346046521397757,0.6346046521397757,FAILS_NAIVE_ALL_S_RECURRENCE,-0.6346046521397757,1.4588166169384964,1.5908705121326894,FAILS_NAIVE_ALL_S_RECURRENCE,3.9314525113346583,3.9314525113346583,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,3,-1,2,2,0.6346046521397757,-0.6346046521397735,-0.6346046521397735,1.4588166169384957,3.9314525113346632,0.0,0.6346046521397735,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,0.0,1.5908705121326878,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,3.9314525113346632,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,5,1,1,1,0.6346046521397757,0.6346046521397765,0.6346046521397765,1.4588166169384946,7.7390804241733075,0.6346046521397757,7.771561172376096e-16,PASS_NUMERICAL_OBSERVATION,0.6346046521397757,-1.4588166169384964,2.917633233876991,FAILS_NAIVE_ALL_S_RECURRENCE,-3.9314525113346583,11.670532935507966,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,5,1,5,1,0.6346046521397757,-5.828670879282072e-16,-5.828670879282072e-16,-2.917633233876991,-11.670532935507966,0.0,5.828670879282072e-16,PASS_NUMERICAL_OBSERVATION,0.0,0.0,2.917633233876991,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,11.670532935507966,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,7,-2,1,2,0.6346046521397757,-1.9038139564193295,-1.9038139564193295,1.4588166169384955,0.1238245984959927,-1.2692093042795514,0.6346046521397781,FAILS_NAIVE_ALL_S_RECURRENCE,-1.2692093042795514,2.917633233876993,1.5908705121326912,FAILS_NAIVE_ALL_S_RECURRENCE,7.862905022669317,7.7390804241733235,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,7,-2,3,2,0.6346046521397757,0.6346046521397783,0.6346046521397783,1.4588166169384986,7.739080424173331,0.0,0.6346046521397783,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,0.0,1.5908705121326925,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,7.739080424173331,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,13,4,1,2,0.6346046521397757,-1.9038139564193317,-1.9038139564193317,-1.4588166169384948,-11.546708337011975,2.5384186085591027,4.442232564978434,FAILS_NAIVE_ALL_S_RECURRENCE,2.5384186085591027,-5.835266467753986,6.235923625098195,FAILS_NAIVE_ALL_S_RECURRENCE,-15.725810045338633,4.179101708326659,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
LLLRLLRLR,13,4,6,2,0.6346046521397757,4.442232564978424,4.442232564978424,-4.376449850815499,-4.179101708326721,0.0,4.442232564978424,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,0.0,6.235923625098193,FAILS_NAIVE_ALL_S_RECURRENCE,0.0,4.179101708326721,FAILS_NAIVE_ALL_S_RECURRENCE,NECESSARY_AND_SUFFICIENT_FOR_THE_NAIVE_ALL_S_IDENTITY_ON_THIS_FINITE_HECKE_OWNER_MULTISET,NUMERICAL_OBSERVATION
