word,hecke_prime,a_p,frozen_s,zeta_repetition_cutoff_R,source_primitive_base_length,source_alpha_period_squared,output_primitive_owner_count,hecke_cycle_degree_pattern,degree_profile_type,hecke_degree_is_zeta_repetition,canonical_inverse_pair_first_variation,ruelle_source_pair_second_variation,ruelle_hecke_output_pair_second_variation,ruelle_lambda_a_p_prediction,ruelle_lambda_a_p_residual,ruelle_lambda_a_p_status,ruelle_lambda_a_p_squared_prediction,ruelle_lambda_a_p_squared_residual,ruelle_lambda_a_p_squared_status,ruelle_secondary_a_p_squared_minus_p_prediction,ruelle_secondary_a_p_squared_minus_p_residual,ruelle_secondary_a_p_squared_minus_p_status,selberg_source_pair_second_variation,selberg_hecke_output_pair_second_variation,selberg_lambda_a_p_prediction,selberg_lambda_a_p_residual,selberg_lambda_a_p_status,selberg_lambda_a_p_squared_prediction,selberg_lambda_a_p_squared_residual,selberg_lambda_a_p_squared_status,selberg_secondary_a_p_squared_minus_p_prediction,selberg_secondary_a_p_squared_minus_p_residual,selberg_secondary_a_p_squared_minus_p_status,lambda_a_p_degree_moment_group_status,lambda_a_p_squared_degree_moment_group_status,secondary_a_p_squared_minus_p_degree_moment_group_status,formal_a2_evaluation_run,analytic_evidence_token,finite_period_evidence_token
LRRLRRR,2,-2,0.125,4,5.774541900715241,0.40272306451744555,2,1|2,MIXED_DEGREES,false,0.0,0.0191924020227222,0.06443231522608683,-0.0383848040454444,0.10281711927153123,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.0767696080908888,0.012337292864801966,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.0383848040454444,0.026047511180642434,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.019211508551901693,0.06445167964788598,-0.038423017103803386,0.10287469675168937,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.07684603420760677,0.012394354559720794,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.038423017103803386,0.026028662544082593,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,2,-2,0.25,4,5.774541900715241,0.40272306451744555,2,1|2,MIXED_DEGREES,false,0.0,0.020106628090384184,0.048421788899646254,-0.04021325618076837,0.08863504508041462,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.08042651236153674,0.03200472346189048,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.04021325618076837,0.008208532718877885,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.02014370365917167,0.048459107988343145,-0.04028740731834334,0.08874651530668648,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.08057481463668668,0.03211570664834354,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.04028740731834334,0.008171700669999803,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,2,-2,0.5,4,5.774541900715241,0.40272306451744555,2,1|2,MIXED_DEGREES,false,0.0,0.0125845159152275,0.01824780900737662,-0.025169031830455,0.04341684083783162,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.05033806366091,0.03209025465353338,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.025169031830455,0.006921222823078381,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.01261948624354769,0.018282833619239422,-0.02523897248709538,0.0435218061063348,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.05047794497419076,0.03219511135495134,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.02523897248709538,0.006956138867855958,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,3,-1,0.125,4,5.774541900715241,0.40272306451744555,2,2|2,UNIFORM_NONUNIT,false,0.0,0.0191924020227222,0.06534654129374888,-0.0191924020227222,0.08453894331647108,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.0191924020227222,0.046154139271026684,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.0383848040454444,0.10373134533919329,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.019211508551901693,0.06534691380531059,-0.019211508551901693,0.08455842235721228,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.019211508551901693,0.046135405253408895,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.038423017103803386,0.10376993090911397,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,3,-1,0.25,4,5.774541900715241,0.40272306451744555,2,2|2,UNIFORM_NONUNIT,false,0.0,0.020106628090384184,0.04089967672448955,-0.020106628090384184,0.061006304814873735,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.020106628090384184,0.020793048634105363,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.04021325618076837,0.08111293290525792,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.02014370365917167,0.040900028475469793,-0.02014370365917167,0.06104373213464147,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.02014370365917167,0.020756324816298122,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.04028740731834334,0.08118743579381313,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,3,-1,0.5,4,5.774541900715241,0.40272306451744555,2,2|2,UNIFORM_NONUNIT,false,0.0,0.0125845159152275,0.00818031224421529,-0.0125845159152275,0.02076482815944279,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.0125845159152275,0.00440420367101221,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.025169031830455,0.033349344074670294,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.01261948624354769,0.008180390653776841,-0.01261948624354769,0.02079987689732453,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.01261948624354769,0.004439095589770849,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.02523897248709538,0.033419363140872224,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,5,1,0.125,4,5.774541900715241,0.40272306451744555,2,1|5,MIXED_DEGREES,false,0.0,0.0191924020227222,0.01919240202272219,0.0191924020227222,1.0408340855860843e-17,PASS_NUMERICAL_OBSERVATION,0.0191924020227222,1.0408340855860843e-17,PASS_NUMERICAL_OBSERVATION,-0.0767696080908888,0.095962010113611,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.019211508551901693,0.01921150855190168,0.019211508551901693,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,0.019211508551901693,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,-0.07684603420760677,0.09605754275950845,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,PASS_NUMERICAL_OBSERVATION,PASS_NUMERICAL_OBSERVATION,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,5,1,0.25,4,5.774541900715241,0.40272306451744555,2,1|5,MIXED_DEGREES,false,0.0,0.020106628090384184,0.02010662809038417,0.020106628090384184,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,0.020106628090384184,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,-0.08042651236153674,0.10053314045192091,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.02014370365917167,0.020143703659171657,0.02014370365917167,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,0.02014370365917167,1.3877787807814457e-17,PASS_NUMERICAL_OBSERVATION,-0.08057481463668668,0.10071851829585834,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,PASS_NUMERICAL_OBSERVATION,PASS_NUMERICAL_OBSERVATION,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,5,1,0.5,4,5.774541900715241,0.40272306451744555,2,1|5,MIXED_DEGREES,false,0.0,0.0125845159152275,0.012584515915227492,0.0125845159152275,8.673617379884035e-18,PASS_NUMERICAL_OBSERVATION,0.0125845159152275,8.673617379884035e-18,PASS_NUMERICAL_OBSERVATION,-0.05033806366091,0.06292257957613749,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.01261948624354769,0.012619486243547681,0.01261948624354769,8.673617379884035e-18,PASS_NUMERICAL_OBSERVATION,0.01261948624354769,8.673617379884035e-18,PASS_NUMERICAL_OBSERVATION,-0.05047794497419076,0.06309743121773845,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,PASS_NUMERICAL_OBSERVATION,PASS_NUMERICAL_OBSERVATION,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
LRRLRRR,7,-2,0.125,4,5.774541900715241,0.40272306451744555,2,4|4,UNIFORM_NONUNIT,false,0.0,0.0191924020227222,0.04089967672448948,-0.0383848040454444,0.07928448076993388,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.0767696080908888,0.03586993136639932,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.0575772060681666,0.09847688279265608,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.019211508551901693,0.04089967672788204,-0.038423017103803386,0.07932269383168543,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,0.07684603420760677,0.03594635747972473,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,-0.05763452565570508,0.09853420238358712,FAILS_NAIVE_HECKE_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,FAILS_NAIVE_ALL_S_SECOND_VARIATION_RECURRENCE,false,PROVED,NUMERICAL_OBSERVATION
