manifestation_id	query_id	result_rank	exact_frozen_query	retrieved_at_utc	interface	http_status	candidate_doi	candidate_title	candidate_year	dedup_identity	duplicate_of	decision	matched_source_id	decision_reason
M001	Q01	1	surface group conjugacy algorithm canonical normal form primitive root	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.21136/mb.1992.126286	A rational canonical form algorithm	1992	doi:10.21136/mb.1992.126286		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M002	Q01	2	surface group conjugacy algorithm canonical normal form primitive root	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/978-1-4939-0938-4_8	Conjugacy Decomposition of Canonical and Dual Canonical Monoids	2014	doi:10.1007/978-1-4939-0938-4_8		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M003	Q02	1	hyperbolic groups root extraction algorithm primitive element centralizer paper DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1515/9783110295351-011	§ 198. Nonmetacyclic p-groups with metacyclic centralizer of an element of order p	2016	doi:10.1515/9783110295351-011		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M004	Q02	2	hyperbolic groups root extraction algorithm primitive element centralizer paper DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1145/1089402.1089404	An improvement to the centralizer algorithm for permutation groups	1985	doi:10.1145/1089402.1089404		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M005	Q03	1	The Combinatorial Structure of Cocompact Discrete Hyperbolic Groups DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/bf00146825	The combinatorial structure of cocompact discrete hyperbolic groups	1984	doi:10.1007/bf00146825		RETAIN_EXISTING_INVENTORY_RECORD	P32-S01	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M006	Q03	2	The Combinatorial Structure of Cocompact Discrete Hyperbolic Groups DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1016/j.ejc.2011.03.020	On the growth of cocompact hyperbolic Coxeter groups	2011	doi:10.1016/j.ejc.2011.03.020		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M007	Q04	1	The Linearity of the Conjugacy Problem in Word-Hyperbolic Groups DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1142/s0218196706002986	THE LINEARITY OF THE CONJUGACY PROBLEM IN WORD-HYPERBOLIC GROUPS	2006	doi:10.1142/s0218196706002986		RETAIN_EXISTING_INVENTORY_RECORD	P32-S02	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M008	Q04	2	The Linearity of the Conjugacy Problem in Word-Hyperbolic Groups DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1017/9781316588246.015	The co-word problem and the conjugacy problem	2017	doi:10.1017/9781316588246.015		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M009	Q05	1	Conjugacy of finite subsets in hyperbolic groups Bridson Howie DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1142/s0218196705002529	CONJUGACY OF FINITE SUBSETS IN HYPERBOLIC GROUPS	2005	doi:10.1142/s0218196705002529		RETAIN_EXISTING_INVENTORY_RECORD	P32-S03	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M010	Q05	2	Conjugacy of finite subsets in hyperbolic groups Bridson Howie DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/s00208-026-03475-9	On the conjugacy problem for subdirect products of hyperbolic groups	2026	doi:10.1007/s00208-026-03475-9		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M011	Q06	1	conjugacy problem hyperbolic groups finite lists Buckley Holt DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1142/s0218196713500203	THE CONJUGACY PROBLEM IN HYPERBOLIC GROUPS FOR FINITE LISTS OF GROUP ELEMENTS	2013	doi:10.1142/s0218196713500203		RETAIN_EXISTING_INVENTORY_RECORD	P32-S04	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M012	Q06	2	conjugacy problem hyperbolic groups finite lists Buckley Holt DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1016/j.jalgebra.2024.03.009	The compressed conjugacy problem in relatively hyperbolic groups	2024	doi:10.1016/j.jalgebra.2024.03.009		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M013	Q07	1	On some algorithmic properties of hyperbolic groups Lysenok DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1070/im1990v035n01abeh000693	ON SOME ALGORITHMIC PROPERTIES OF HYPERBOLIC GROUPS	1990	doi:10.1070/im1990v035n01abeh000693		RETAIN_EXISTING_INVENTORY_RECORD	P32-S05	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
