block,evidence_class,population,primary_metric,value,failures,scope_note
complete_graph_enumeration,COMPLETE_FOR_FROZEN_N_LE_4,66066,mixed_primitive_roots,775471,0,all loop-allowed simple directed graph masks on 1..4 vertices
complete_shared_state_pairs,COMPLETE_FOR_FROZEN_N_LE_4,613996,mixed_primitive_roots,613996,0,cyclically distinct primitive simple cycles sharing a state
complete_repaired_connectors,COMPLETE_FOR_FROZEN_N_LE_4,161475,mixed_primitive_roots,161475,0,disjoint primitive cycles in one SCC; SCC paths may traverse cycle vertices
preregistered_connector_normal_form,COUNTEREXAMPLE_CENSUS,164336,strict_external_witness_failures,18272,18272,same endpoints plus both interiors outside both cycles was too strong
hash_seeded_graph_controls,FINITE_DETERMINISTIC_CONTROL_NOT_EXHAUSTIVE,64,mixed_primitive_roots,69073,0,64 SHA-seeded strongly connected graphs on 5..8 vertices
terminal_recognizer,EXACT_FINITE_IDENTITY,160,determinant_equal,1,0,acyclic decision tails versus recurrent product
arbitrary_inventory_pruning,EXACT_FINITE_CONTROLS,8,proper_supports_change_determinant,6,0,"trial atom, square, Fibonacci, modular, SHA, matched SHA, all, empty"
kraft_clock_proxy,FINITE_WITNESS_NOT_INFINITE_PROOF,12,exact_configuration_passes,12,0,"q=2,3,4 and cutoffs 31,127,511,2047"
first_return_marker,EXACT_FORMAL_POLYNOMIAL,17,raw_differs_but_z1_equal,17,0,raw z^ell versus induced z
independent_evaluator,INDEPENDENT_RECONSTRUCTION,5,aggregate_rows_equal,5,0,"different SCC, cycle, root, path, and determinant algorithms"
