c,enumerated,euler_phi
1,1,1
2,1,1
3,2,2
4,2,2
5,4,4
6,2,2
7,6,6
8,4,4
9,6,6
10,4,4
11,10,10
12,4,4
13,12,12
14,6,6
15,8,8
16,8,8
17,16,16
18,6,6
19,18,18
20,8,8
21,12,12
22,10,10
23,22,22
24,8,8
25,20,20
26,12,12
27,18,18
28,12,12
29,28,28
30,8,8
31,30,30
32,16,16
33,20,20
34,16,16
35,24,24
36,12,12
37,36,36
38,18,18
39,24,24
40,16,16
41,40,40
42,12,12
43,42,42
44,20,20
45,24,24
46,22,22
47,46,46
48,16,16
49,42,42
50,20,20
51,32,32
52,24,24
53,52,52
54,18,18
55,40,40
56,24,24
57,36,36
58,28,28
59,58,58
60,16,16
61,60,60
62,30,30
63,36,36
64,32,32
65,48,48
66,20,20
67,66,66
68,32,32
69,44,44
70,24,24
71,70,70
72,24,24
73,72,72
74,36,36
75,40,40
76,36,36
77,60,60
78,24,24
79,78,78
80,32,32
