step,a
1,1.02
2,1.02
3,1.02
4,1.02
5,1.02
6,1.02
7,1.02
8,1.02
9,1.02
10,1.02
11,1.02
12,1.02
13,1.02
14,1.02
15,1.02
16,1.02
17,1.02
18,1.02
19,1.02
20,1.02
21,1.02
22,1.02
23,1.02
24,1.02
25,1.02
26,1.02
27,1.02
28,1.02
29,1.02
30,1.02
31,1.02
32,1.02
33,1.02
34,1.02
35,1.02
36,1.02
37,1.02
38,1.02
39,1.02
40,1.02
41,1.02
42,1.02
43,1.02
44,1.02
45,1.02
46,1.02
47,1.02
48,1.02
49,1.02
50,1.02
51,1.02
52,1.02
53,1.02
54,1.02
55,1.02
56,1.02
57,1.02
58,1.02
59,1.02
60,1.02
61,1.02
62,1.02
63,1.02
64,1.02
65,1.02
66,1.02
67,1.02
68,1.02
69,1.02
70,1.02
71,1.02
72,1.02
73,1.02
74,1.02
75,1.02
76,1.02
77,1.02
78,1.02
79,1.02
80,1.02
81,1.02
82,1.02
83,1.02
84,1.02
85,1.02
86,1.02
87,1.02
88,1.02
89,1.02
90,1.02
91,1.02
92,1.02
93,1.02
94,1.02
95,1.02
96,1.02
97,1.02
98,1.02
99,1.02
100,1.02
101,1.02
102,1.02
103,1.02
104,1.02
105,1.02
106,1.02
107,1.02
108,1.02
109,1.02
110,1.02
111,1.02
112,1.02
113,1.02
114,1.02
115,1.02
116,1.02
117,1.02
118,1.02
119,1.02
120,1.02
121,1.02
122,1.02
123,1.02
124,1.02
125,1.02
126,1.02
127,1.02
128,1.02
129,1.02
130,1.02
131,1.02
132,1.02
133,1.02
134,1.02
135,1.02
136,1.02
137,1.02
138,1.02
139,1.02
140,1.02
141,1.02
142,1.02
143,1.02
144,1.02
145,1.02
146,1.02
147,1.02
148,1.02
149,1.02
150,1.02
151,1.02
152,1.02
153,1.02
154,1.02
155,1.02
156,1.02
157,1.02
158,1.02
159,1.02
160,1.02
161,1.02
162,1.02
163,1.02
164,1.02
165,1.02
166,1.02
167,1.02
168,1.02
169,1.02
170,1.02
171,1.02
172,1.02
173,1.02
174,1.02
175,1.02
176,1.02
177,1.02
178,1.02
179,1.02
180,1.02
181,1.02
182,1.02
183,1.02
184,1.02
185,1.02
186,1.02
187,1.02
188,1.02
189,1.02
190,1.02
191,1.02
192,1.02
193,1.02
194,1.02
195,1.02
196,1.02
197,1.02
198,1.02
199,1.02
200,1.02
201,1.02
202,1.02
203,1.02
204,1.02
205,1.02
206,1.02
207,1.02
208,1.02
209,1.02
210,1.02
211,1.02
212,1.02
213,1.02
214,1.02
215,1.02
216,1.02
217,1.02
218,1.02
219,1.02
220,1.02
221,1.02
222,1.02
223,1.02
224,1.02
225,1.02
226,1.02
227,1.02
228,1.02
229,1.02
230,1.02
231,1.02
232,1.02
233,1.02
234,1.02
235,1.02
236,1.02
237,1.02
238,1.02
239,1.02
240,1.02
241,1.02
242,1.02
243,1.02
244,1.02
245,1.02
246,1.02
247,1.02
248,1.02
249,1.02
250,1.02
251,1.02
252,1.02
253,1.02
254,1.02
255,1.02
256,1.02
257,1.02
258,1.02
259,1.02
260,1.02
261,1.02
262,1.02
263,1.02
264,1.02
265,1.02
266,1.02
267,1.02
268,1.02
269,1.02
270,1.02
271,1.02
272,1.02
273,1.02
274,1.02
275,1.02
276,1.02
277,1.02
278,1.02
279,1.02
280,1.02
281,1.02
282,1.02
283,1.02
284,1.02
285,1.02
286,1.02
287,1.02
288,1.02
289,1.02
290,1.02
291,1.02
292,1.02
293,1.02
294,1.02
295,1.02
296,1.02
297,1.02
298,1.02
299,1.02
300,1.02
