degree,word,length,support_size,actual_supertrace,expected,exact,mixed_killed_by_projector,analytic_sector_changes_selector
4,0,1,1,1/4,1/4,True,True,False
4,1,1,1,1/9,1/9,True,True,False
4,2,1,1,1/25,1/25,True,True,False
4,0|0,2,1,1/16,1/16,True,True,False
4,0|1,2,2,0,0,True,True,False
4,0|2,2,2,0,0,True,True,False
4,1|0,2,2,0,0,True,True,False
4,1|1,2,1,1/81,1/81,True,True,False
4,1|2,2,2,0,0,True,True,False
4,2|0,2,2,0,0,True,True,False
4,2|1,2,2,0,0,True,True,False
4,2|2,2,1,1/625,1/625,True,True,False
4,0|0|0,3,1,1/64,1/64,True,True,False
4,0|0|1,3,2,0,0,True,True,False
4,0|0|2,3,2,0,0,True,True,False
4,0|1|0,3,2,0,0,True,True,False
4,0|1|1,3,2,0,0,True,True,False
4,0|1|2,3,3,0,0,True,True,False
4,0|2|0,3,2,0,0,True,True,False
4,0|2|1,3,3,0,0,True,True,False
4,0|2|2,3,2,0,0,True,True,False
4,1|0|0,3,2,0,0,True,True,False
4,1|0|1,3,2,0,0,True,True,False
4,1|0|2,3,3,0,0,True,True,False
4,1|1|0,3,2,0,0,True,True,False
4,1|1|1,3,1,1/729,1/729,True,True,False
4,1|1|2,3,2,0,0,True,True,False
4,1|2|0,3,3,0,0,True,True,False
4,1|2|1,3,2,0,0,True,True,False
4,1|2|2,3,2,0,0,True,True,False
4,2|0|0,3,2,0,0,True,True,False
4,2|0|1,3,3,0,0,True,True,False
4,2|0|2,3,2,0,0,True,True,False
4,2|1|0,3,3,0,0,True,True,False
4,2|1|1,3,2,0,0,True,True,False
4,2|1|2,3,2,0,0,True,True,False
4,2|2|0,3,2,0,0,True,True,False
4,2|2|1,3,2,0,0,True,True,False
4,2|2|2,3,1,1/15625,1/15625,True,True,False
4,0|0|0|0,4,1,1/256,1/256,True,True,False
4,0|0|0|1,4,2,0,0,True,True,False
4,0|0|0|2,4,2,0,0,True,True,False
4,0|0|1|0,4,2,0,0,True,True,False
4,0|0|1|1,4,2,0,0,True,True,False
4,0|0|1|2,4,3,0,0,True,True,False
4,0|0|2|0,4,2,0,0,True,True,False
4,0|0|2|1,4,3,0,0,True,True,False
4,0|0|2|2,4,2,0,0,True,True,False
4,0|1|0|0,4,2,0,0,True,True,False
4,0|1|0|1,4,2,0,0,True,True,False
4,0|1|0|2,4,3,0,0,True,True,False
4,0|1|1|0,4,2,0,0,True,True,False
4,0|1|1|1,4,2,0,0,True,True,False
4,0|1|1|2,4,3,0,0,True,True,False
4,0|1|2|0,4,3,0,0,True,True,False
4,0|1|2|1,4,3,0,0,True,True,False
4,0|1|2|2,4,3,0,0,True,True,False
4,0|2|0|0,4,2,0,0,True,True,False
4,0|2|0|1,4,3,0,0,True,True,False
4,0|2|0|2,4,2,0,0,True,True,False
4,0|2|1|0,4,3,0,0,True,True,False
4,0|2|1|1,4,3,0,0,True,True,False
4,0|2|1|2,4,3,0,0,True,True,False
4,0|2|2|0,4,2,0,0,True,True,False
4,0|2|2|1,4,3,0,0,True,True,False
4,0|2|2|2,4,2,0,0,True,True,False
4,1|0|0|0,4,2,0,0,True,True,False
4,1|0|0|1,4,2,0,0,True,True,False
4,1|0|0|2,4,3,0,0,True,True,False
4,1|0|1|0,4,2,0,0,True,True,False
4,1|0|1|1,4,2,0,0,True,True,False
4,1|0|1|2,4,3,0,0,True,True,False
4,1|0|2|0,4,3,0,0,True,True,False
4,1|0|2|1,4,3,0,0,True,True,False
4,1|0|2|2,4,3,0,0,True,True,False
4,1|1|0|0,4,2,0,0,True,True,False
