p,kind,replicate,seed,num_cycles,fixed_points,largest_cycle,largest_cycle_fraction,short_threshold,short_cycle_count,short_point_mass,short_point_mass_fraction,cycle_length_gcd,symmetric_cycle_count,symmetric_degree,symmetric_degree_fraction,paired_cycle_pair_count,paired_base_degree
2,uniform_permutation,0,3718454915769828293,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,0,12809213092374492153,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,1,9818423310541240155,2,0,2,0.5,2,2,4,1.0,2,,,,,
2,matched_reversible,1,4623514813843176281,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,2,2898105984476228666,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,2,2641388608916653351,3,2,2,0.5,2,3,4,1.0,1,1,2,0.5,1,1
2,uniform_permutation,3,10550019838673440573,3,2,2,0.5,2,3,4,1.0,1,,,,,
2,matched_reversible,3,8674570199700150376,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,4,7987416625776642077,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,4,4060802822575305756,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,5,8468673799440483387,1,0,4,1.0,2,0,0,0.0,4,,,,,
2,matched_reversible,5,14770545712982823082,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,6,16563786342509932103,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,6,8674812142422908308,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,7,3523765965512652182,3,2,2,0.5,2,3,4,1.0,1,,,,,
2,matched_reversible,7,18443724591637362926,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,8,4516999176340827151,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,8,1328073992336350724,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,9,15325041963343103212,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,9,271244782670460118,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,10,14354316003890233694,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,10,17752961619449003832,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,11,17906663042446369586,3,2,2,0.5,2,3,4,1.0,1,,,,,
2,matched_reversible,11,1258927790679523390,3,2,2,0.5,2,3,4,1.0,1,1,2,0.5,1,1
2,uniform_permutation,12,5204796317533186262,3,2,2,0.5,2,3,4,1.0,1,,,,,
