control_id,row_id,complex_length_fixed,repetition_exponent_fixed,original_holonomy_angle,shuffled_holonomy_angle,shuffled_from_row_id,orientation_reversal_angle,shuffle_seed_label,target_data_used,evidence_status
HC4e40620ae85c6b26,M4e40620ae85c6b26,10.3635039742525,1,0,0,M2c918f0ab98e87df,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HC2755121448b56e40,M2755121448b56e40,10.3635039742525,1,0,-0.868868127162489,M24b13ced96267fdb,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HCfea291a7af405744,Mfea291a7af405744,10.3635039742525,1,0,0,Mdb647562bb3ab488,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HC0307abb60550fc86,M0307abb60550fc86,10.3635039742525,1,0,-0.316870227589821,Mf347a26bd262b6bf,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HCf06e75a68f6646c8,Mf06e75a68f6646c8,10.3635039742525,1,0,-0.692922737987562,Mb7d3757f21915fd3,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HCef8ed4b34607fd9e,Mef8ed4b34607fd9e,10.3635039742525,1,0,0.868868127162489,M735c8ece70e10949,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HCe9e91db29f26679b,Me9e91db29f26679b,10.3635039742525,1,0,0.353905570690794,M3c50a28b1b3e0d4c,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HCb8ad6f4de6a0e48e,Mb8ad6f4de6a0e48e,10.3635039742525,1,0,0.692922737987563,Mc2122466b320415a,-0,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HC1d081bb76bcba721,M1d081bb76bcba721,10.2849365532946,1,0.316870227589821,0,M3bb143c736164481,-0.316870227589821,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
HC7968c803d82388cf,M7968c803d82388cf,10.2849365532946,1,0.316870227589821,0,Mc41116d46622a704,-0.316870227589821,P24-2026-08-27-target-free-holonomy-shuffle-v1,false,NUMERICALLY_CERTIFIED
