control_id,source_period,target_period,map_kind,alpha_expression,alpha_float,alpha_positive,well_defined,inverse_verified,period_covariance,strict_marked,scaled_marked,unmarked_isomorphism,subgroup_equal,unequal_period_non_descent,orientation_nonconverse,covariance_abs_error,well_defined_abs_error,wrong_identity_scale_detected,wrong_reciprocal_scale_detected,boundary
STRICT-ID,log(2),log(2),strict-identity,1,1,true,true,true,true,true,true,true,true,false,false,0,0,false,false,strict target morphism
REVERSE-L,log(2),log(2),orientation-reversing-unmarked,-1,-1,false,true,true,true,false,false,true,true,false,true,0,0,false,false,subgroup equality does not characterize strictness
STRICT-ID,log(4),log(4),strict-identity,1,1,true,true,true,true,true,true,true,true,false,false,0,0,false,false,strict target morphism
REVERSE-L,log(4),log(4),orientation-reversing-unmarked,-1,-1,false,true,true,true,false,false,true,true,false,true,0,0,false,false,subgroup equality does not characterize strictness
STRICT-ID,sqrt(2),sqrt(2),strict-identity,1,1,true,true,true,true,true,true,true,true,false,false,0,0,false,false,strict target morphism
REVERSE-L,sqrt(2),sqrt(2),orientation-reversing-unmarked,-1,-1,false,true,true,true,false,false,true,true,false,true,0,0,false,false,subgroup equality does not characterize strictness
STRICT-ID,37/29,37/29,strict-identity,1,1,true,true,true,true,true,true,true,true,false,false,0,0,false,false,strict target morphism
REVERSE-L,37/29,37/29,orientation-reversing-unmarked,-1,-1,false,true,true,true,false,false,true,true,false,true,0,0,false,false,subgroup equality does not characterize strictness
SCALE-LM,log(2),log(4),positive-scaled-dilation,(log(4))/(log(2)),2,true,true,true,true,false,true,true,false,true,false,0,0,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,log(2),sqrt(2),positive-scaled-dilation,(sqrt(2))/(log(2)),2.04027889319358,true,true,true,true,false,true,true,false,true,false,2.22044604925031e-16,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,log(2),37/29,positive-scaled-dilation,(37/29)/(log(2)),1.84067987975488,true,true,true,true,false,true,true,false,true,false,0,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,log(4),log(2),positive-scaled-dilation,(log(2))/(log(4)),0.5,true,true,true,true,false,true,true,false,true,false,0,0,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,log(4),sqrt(2),positive-scaled-dilation,(sqrt(2))/(log(4)),1.02013944659679,true,true,true,true,false,true,true,false,true,false,2.22044604925031e-16,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,log(4),37/29,positive-scaled-dilation,(37/29)/(log(4)),0.920339939877442,true,true,true,true,false,true,true,false,true,false,0,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,sqrt(2),log(2),positive-scaled-dilation,(log(2))/(sqrt(2)),0.490129071734274,true,true,true,true,false,true,true,false,true,false,0,4.44089209850063e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,sqrt(2),log(4),positive-scaled-dilation,(log(4))/(sqrt(2)),0.980258143468547,true,true,true,true,false,true,true,false,true,false,0,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,sqrt(2),37/29,positive-scaled-dilation,(37/29)/(sqrt(2)),0.902170720824216,true,true,true,true,false,true,true,false,true,false,0,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,37/29,log(2),positive-scaled-dilation,(log(2))/(37/29),0.543277519898336,true,true,true,true,false,true,true,false,true,false,1.11022302462516e-16,4.44089209850063e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,37/29,log(4),positive-scaled-dilation,(log(4))/(37/29),1.08655503979667,true,true,true,true,false,true,true,false,true,false,2.22044604925031e-16,8.88178419700125e-16,true,true,scaled and unmarked only; not a strict target morphism
SCALE-LM,37/29,sqrt(2),positive-scaled-dilation,(sqrt(2))/(37/29),1.10843765699513,true,true,true,true,false,true,true,false,true,false,2.22044604925031e-16,4.44089209850063e-16,true,true,scaled and unmarked only; not a strict target morphism
