k,seed,variable_values,presentation_permutation,edge_sum_sha256,determinant_sha256,exact_product_identity,presentation_shuffle_invariant,mixed_squarefree_log_coefficient,proves_too_much
2,15100,1/4;1/5,"(1, 0)",0b9db2ecfb8de65fb248232d099982a827055c98d6372e9b4e1fa81d98dc1cc2,e8692ca200b54ddada768e71960a0511416137a374776dcfd1aa8305d0a96fa3,True,True,0,True
2,15101,8/19;3/10,"(0, 1)",ba467512dd0dc6c9c8baa4105c4e2729bbb4ba55d60768a339c2805e2cb6af2b,7e092b4b9305c3ef09fda3dbb4417f45432cd9bf2d86804a311e9cf7dd904202,True,True,0,True
2,15102,5/14;1/2,"(1, 0)",bea6c303d65abb3e8551abfeba1942a9d8babef89951dabc95718b098dd4a865,c9a7191876deaeeed23d40978046c5e8f48297a959e847ba5b41bb0f2aae2caf,True,True,0,True
2,15103,1/17;9/19,"(1, 0)",a53753affd0ff55757e502ea40e4a60068951d12f2c6c677cd2b994c8a1022ee,022c833f7e5079faea958a58c46a9eb157b772c54fa850cc4431ebd9db11a453,True,True,0,True
2,15104,2/17;1/5,"(1, 0)",cf46a5f0d232203697f8344f7c3fb703bc0fda23b9a925feff9d3031b0df7d99,e294778b7cf4c817ea7616e2966c381fb4396eca7a0a1d13037e126d7a76983a,True,True,0,True
2,15105,1/19;2/7,"(1, 0)",dc85790453c040726c650a11d5b51acd4a32eb17df928195dc53c60689287a32,e10ea78282da2d9ea34ea0e6c06cf0081725907d0ff5c20ee3dce04f3718f5e5,True,True,0,True
2,15106,7/11;3/19,"(0, 1)",a09dbe09df369715c3e697d73eb9941bf80cd82c39a38d9ed8a8bc1e6101ffe5,a06c17a3092389db7b3cac7a81c2b7909f8a281c763085744906e177f86ec8d7,True,True,0,True
2,15107,4/7;1/21,"(0, 1)",67cf164e8ff500e2344b1af8249ed8b26245e835f30e6b95efe33bda59193ece,51f5cd0236e76d14720bf37c3204a7cf0df830213e43b3e78c4c56f4cf0b5799,True,True,0,True
2,15108,2/23;1/18,"(0, 1)",17d22831d470bac94bb8fa0bf5eb2bd941add04ae0c3563468353e3806e6b1ad,37d867b796ddfc9b8b880a275acb77e814ab9c02f6d5d6f674ee57c9b3ebc786,True,True,0,True
2,15109,5/14;8/21,"(1, 0)",4c48994a09bd23aec8ae3f18a1325c7633edaf1170c12834a6fe265d19509607,501f498286fe3bb79a2eb0327de58c208d121a020fa4deef8df840a0720782d5,True,True,0,True
2,15110,1/5;4/9,"(0, 1)",6523f09afbc5ba27530a3abe3ff0f5db40b2b859346f4425d64edd6d596c6eb5,2b4a3397494a9e1bf65517b40760ebeb3313a738a9eabd4e73f0ddbf1df441a5,True,True,0,True
2,15111,9/16;2/7,"(1, 0)",3e29725408a4be227d2a58cb2ac15e947048a398c6a8926d768ad24401bf64b5,f331957a62292c73355411dfc69ba9518d25d6b986d2013b277dc725a0ddf748,True,True,0,True
2,15112,2/5;1/11,"(1, 0)",916639634200482d3a407557feb633ad083b8372d27e264f0491cef728fd38c8,d76174df2d7d94756b95bfa3178cc72eea45bd777aeb96c55ab6fcd1eba3d5bc,True,True,0,True
2,15113,3/14;1/11,"(0, 1)",55ba88e4b6928dfded4e47a08bd074de25cc6253504c6cc6669c4d7912418723,a524479da1a7b96f24eecaa8da1cf07eb7fb144cdca7625825bffb3bdefd0c37,True,True,0,True
2,15114,2/21;3/14,"(0, 1)",ec3573203506b79923c2f7dcd18dd8eea17381ece59d4cf08f35ea0fb8338d7c,2ddc616f332cdfdbc4d189e061d478782db9a7054c161a56e5732671ef9771ae,True,True,0,True
2,15115,9/22;3/11,"(0, 1)",cfdb3fd4ed9f51a7d86b1b99f78150545cd49784cff0569e0c4822746a8ded16,b5705313fcfb09091ba5ea62dddc936a08f2ce2df9b5538b19b1a1d18c94ef12,True,True,0,True
3,15100,3/16;3/16;3/23,"(0, 2, 1)",e6e7623e161a66bae74c74ea07ec3acd4bfe409f9fd98b1797f77ab6a58ef67f,3e06a8670d632ad01c30d27df31e6b7593b3e79571a1eb51e227f94494bc80da,True,True,0,True
