fiber,cutoff,matrix_dimension,z,newton_determinant,direct_determinant,match
scalar,9,8,1/7,23453946180589/23534223602400,23453946180589/23534223602400,True
scalar,9,8,1/11,556112538594229/556880988232800,556112538594229/556880988232800,True
scalar,9,8,2/13,55814263890181/56035994393925,55814263890181/56035994393925,True
jordan_two,9,16,1/7,9182641076841534281704198817633/9187867469002477546730815488000,9182641076841534281704198817633/9187867469002477546730815488000,True
jordan_two,9,16,1/11,5143276092545299909398555562941569/5144459517842705305072980590592000,5143276092545299909398555562941569/5144459517842705305072980590592000,True
jordan_two,9,16,2/13,26027499554602500066144580393/26044686959103540866481086016,26027499554602500066144580393/26044686959103540866481086016,True
nilpotent_three,9,24,1/7,1921158319753/1921161110400,1921158319753/1921161110400,True
nilpotent_three,9,24,1/11,45459658229833/45459672508800,45459658229833/45459672508800,True
nilpotent_three,9,24,2/13,2287179153911/2287183444650,2287179153911/2287183444650,True
trace_zero_repetition_leakage,9,16,1/7,45939322539360908573533042050361/45939337345012387733654077440000,45939322539360908573533042050361/45939337345012387733654077440000,True
trace_zero_repetition_leakage,9,16,1/11,25722296231139997552981392708252889/25722297589213526525364902952960000,25722296231139997552981392708252889/25722297589213526525364902952960000,True
trace_zero_repetition_leakage,9,16,2/13,847455346289653045738774151/847455713735928417406845000,847455346289653045738774151/847455713735928417406845000,True
