schema_version,row_id,case_kind,negative_reason,fixture,violated_lock,expected_detector,observed_detector,expected_disposition,oracle,tolerance,status
paper13-circle-twists-controls/1,ND-0001,NEGATIVE,NON_T0_COEFFICIENT_TARGET,DOM=INDISC2;COD=INDISC2;MAP=a:0|b:1,T0_TARGET_REQUIRED_FOR_TIME_FACTORIZATION,REJECT_T0_FACTORIZATION_USE,REJECT_T0_FACTORIZATION_USE,DOMAIN_EXCLUDED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0002,NEGATIVE,MEASURABLE_ONLY_PHASE,ALPHA_RULE=LE0_TO_1_GT0_TO_MINUS1;WITNESS=SEQ_1_OVER_N,COCHAINS_MUST_BE_GLOBALLY_CONTINUOUS,REJECT_CONTINUITY_DOMAIN,REJECT_CONTINUITY_DOMAIN,DOMAIN_EXCLUDED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0003,NEGATIVE,DISCONTINUOUS_PHASE,ALPHA_RULE=EQ0_TO_1_NE0_TO_MINUS1;WITNESS=SEQ_1_OVER_N,COCHAINS_MUST_BE_GLOBALLY_CONTINUOUS,REJECT_CONTINUITY_DOMAIN,REJECT_CONTINUITY_DOMAIN,DOMAIN_EXCLUDED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0004,NEGATIVE,UNNORMALIZED_ONE_COCHAIN,ALPHA_0=-1,ONE_COCHAIN_NORMALIZATION_ALPHA_0_EQ_1,REJECT_ONE_COCHAIN_NORMALIZATION,REJECT_ONE_COCHAIN_NORMALIZATION,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0005,NEGATIVE,UNNORMALIZED_TWO_COCHAIN,SIGMA_T_0=-1,TWO_COCHAIN_NORMALIZATION_BOTH_AXES_EQ_1,REJECT_TWO_COCHAIN_NORMALIZATION,REJECT_TWO_COCHAIN_NORMALIZATION,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0006,NEGATIVE,WRONG_COBOUNDARY_SIGN,K=-1;T=1;U=1;CANDIDATE=CONJUGATE_DELTA,COBOUNDARY_SIGN_DELTA_A_EQ_A_T_A_U_OVERLINE_A_TPLUSU,COBOUNDARY_MISMATCH,COBOUNDARY_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0007,NEGATIVE,WRONG_GAUGE_ORIENTATION,K=-1;MAP=U_OVERLINE_ALPHA;TYPE=A_SIGMA_TO_A_ONE,GAUGE_DIRECTION_SIGMA_OVERLINE_TAU_EQ_DELTA_A,GAUGE_DIRECTION_MISMATCH,GAUGE_DIRECTION_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0008,NEGATIVE,TWISTED_PRODUCT_WRONG_SIGMA_ARGUMENT,K=6;U=1;T=2;CANDIDATE=SIGMA_U_T,TWISTED_PRODUCT_KERNEL_SIGMA_U_TMINUSU,PRODUCT_GAUGE_OR_ASSOCIATIVITY_MISMATCH,PRODUCT_GAUGE_OR_ASSOCIATIVITY_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0009,NEGATIVE,TWISTED_STAR_OMITS_COCYCLE,K=6;T=1;CANDIDATE=CONJ_F_MINUS_T,TWISTED_STAR_FACTOR_OVERLINE_SIGMA_T_MINUST,STAR_INVOLUTION_MISMATCH,STAR_INVOLUTION_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0010,NEGATIVE,REGULAR_TRANSLATION_WRONG_DIRECTION,VECTOR=V1;S=1;T=0;CANDIDATE=XI_T_PLUS_S,LEFT_REGULAR_TRANSLATION_T_MINUS_S,PROJECTIVE_LAW_MISMATCH,PROJECTIVE_LAW_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0011,NEGATIVE,INTERTWINER_CONJUGATIONS_SWAPPED,VECTOR=V2;K=6;S=1;T=0;CANDIDATE=M_BARALPHA_LAMBDA_SIGMA_M_ALPHA,INTERTWINER_M_ALPHA_LEFT_M_BARALPHA_RIGHT,INTERTWINER_MISMATCH,INTERTWINER_MISMATCH,ROW_REJECTED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0012,NEGATIVE,R2_NONSYMMETRIC_COMMUTATOR,OMEGA=EXP_I_PI_S1_T2_OVER2;S=1|0;T=0|1;COMM_EXP_MOD4=1,P13_3_ONE_DIMENSIONAL_R_ONLY,NONTRIVIAL_R2_COMMUTATOR,NONTRIVIAL_R2_COMMUTATOR,ONE_DIMENSION_ONLY,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0013,NEGATIVE,DENSE_H_HAAR_COMPLETION_PROMOTION,H=Q;WINDOW=REDUCED_ABS_LE_2_DEN_LE_6;PROMOTION=HAAR_COMPLETION,DENSE_Q_NO_HAAR_OR_COMPLETION_PROMOTION,REJECT_DENSE_H_ANALYTIC_PROMOTION,REJECT_DENSE_H_ANALYTIC_PROMOTION,CLAIM_BLOCKED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0014,NEGATIVE,HETEROGENEOUS_AS_COMMON_LATTICE,STABILIZERS=ZERO|LZ|R|Q;CANDIDATE=COMMON_LZ,P13_8_COMMON_STABILIZER_H_EQ_LZ,REJECT_COMMON_STABILIZER_HYPOTHESIS,REJECT_COMMON_STABILIZER_HYPOTHESIS,CLAIM_BLOCKED,EXPECTED_DETECTOR_TOKEN,0,PASS
paper13-circle-twists-controls/1,ND-0015,NEGATIVE,ACTUAL_STANDARD_REVERSE_IDENTITY,MAP=IDENTITY;DIRECTION=G_ACTUAL_TO_G_STD;CLAIM=CONTINUOUS,J_DIRECTION_G_STD_TO_G_ACTUAL_ONLY,REJECT_J_DIRECTION,REJECT_J_DIRECTION,CLAIM_BLOCKED,EXPECTED_DETECTOR_TOKEN,0,PASS
