characteristic,field_exponent,orbit_degree,target_prime,target_repetition,common_integer,same_characteristic,exponent_identity
2,1,1,2,1,2,True,True
2,1,2,2,2,4,True,True
2,1,3,2,3,8,True,True
2,1,4,2,4,16,True,True
2,1,5,2,5,32,True,True
2,1,6,2,6,64,True,True
2,2,1,2,2,4,True,True
2,2,2,2,4,16,True,True
2,2,3,2,6,64,True,True
2,2,4,2,8,256,True,True
2,2,5,2,10,1024,True,True
2,2,6,2,12,4096,True,True
2,3,1,2,3,8,True,True
2,3,2,2,6,64,True,True
2,3,3,2,9,512,True,True
2,3,4,2,12,4096,True,True
2,3,5,2,15,32768,True,True
2,3,6,2,18,262144,True,True
3,1,1,3,1,3,True,True
3,1,2,3,2,9,True,True
3,1,3,3,3,27,True,True
3,1,4,3,4,81,True,True
3,1,5,3,5,243,True,True
3,1,6,3,6,729,True,True
3,2,1,3,2,9,True,True
3,2,2,3,4,81,True,True
3,2,3,3,6,729,True,True
3,2,4,3,8,6561,True,True
3,2,5,3,10,59049,True,True
3,2,6,3,12,531441,True,True
3,3,1,3,3,27,True,True
3,3,2,3,6,729,True,True
3,3,3,3,9,19683,True,True
3,3,4,3,12,531441,True,True
3,3,5,3,15,14348907,True,True
3,3,6,3,18,387420489,True,True
5,1,1,5,1,5,True,True
5,1,2,5,2,25,True,True
5,1,3,5,3,125,True,True
5,1,4,5,4,625,True,True
5,1,5,5,5,3125,True,True
5,1,6,5,6,15625,True,True
5,2,1,5,2,25,True,True
5,2,2,5,4,625,True,True
5,2,3,5,6,15625,True,True
5,2,4,5,8,390625,True,True
5,2,5,5,10,9765625,True,True
5,2,6,5,12,244140625,True,True
5,3,1,5,3,125,True,True
5,3,2,5,6,15625,True,True
5,3,3,5,9,1953125,True,True
5,3,4,5,12,244140625,True,True
5,3,5,5,15,30517578125,True,True
5,3,6,5,18,3814697265625,True,True
7,1,1,7,1,7,True,True
7,1,2,7,2,49,True,True
7,1,3,7,3,343,True,True
7,1,4,7,4,2401,True,True
7,1,5,7,5,16807,True,True
7,1,6,7,6,117649,True,True
7,2,1,7,2,49,True,True
7,2,2,7,4,2401,True,True
7,2,3,7,6,117649,True,True
7,2,4,7,8,5764801,True,True
7,2,5,7,10,282475249,True,True
7,2,6,7,12,13841287201,True,True
7,3,1,7,3,343,True,True
7,3,2,7,6,117649,True,True
7,3,3,7,9,40353607,True,True
7,3,4,7,12,13841287201,True,True
7,3,5,7,15,4747561509943,True,True
7,3,6,7,18,1628413597910449,True,True
11,1,1,11,1,11,True,True
11,1,2,11,2,121,True,True
11,1,3,11,3,1331,True,True
11,1,4,11,4,14641,True,True
11,1,5,11,5,161051,True,True
11,1,6,11,6,1771561,True,True
11,2,1,11,2,121,True,True
11,2,2,11,4,14641,True,True
11,2,3,11,6,1771561,True,True
11,2,4,11,8,214358881,True,True
11,2,5,11,10,25937424601,True,True
11,2,6,11,12,3138428376721,True,True
11,3,1,11,3,1331,True,True
11,3,2,11,6,1771561,True,True
11,3,3,11,9,2357947691,True,True
11,3,4,11,12,3138428376721,True,True
11,3,5,11,15,4177248169415651,True,True
11,3,6,11,18,5559917313492231481,True,True
