canonical_id	aliases	origin_lanes	entry_class	count_current_breadth	disposition	literal_definition	definition_sources	disposition_sources	audit_notes
MCT	MCT;monochromatic_triangle_complementation	final_seat_mct	DOCUMENTED_PROPOSAL	1	SELECT_INTERNAL_AMBER	All simple labelled graphs; complement all3 edge bits of lexleast monochromatic triple, holding if none	scouting/monochromatic_triangle_20260905/CONTRACT.md|scouting/monochromatic_triangle_20260905/INVERSE_THEOREM.md|reviews/mct_temporal_pressure_20260905/PROOF_PACKAGE.md	reviews/mct_stage1_20260905/STAGE1_GATE.md|MCT_ROOT_ADJUDICATION.md	Fresh P203 authoring, not completed paper. StaticJohnson/genericdescent zero credit. One missing intermediate code pin remains disclosed archivalMinor1; current standalone proof and separate gate accepted, no historical repair claim.
ND1	ND1;singleton_neighborhood_difference	second_replacement	DOCUMENTED_PROPOSAL	1	RESERVE_BOUNDED_SIGNAL	Full simple labelled graphs; uv in output iff open-neighborhood symmetric difference has size1	scouting/second_replacement_20260905/CONTRACTS_AND_PROOF.md	reviews/nd1_proof_pressure_20260905/PRESSURE_REPORT.md|SECOND_REPLACEMENT_ROOT_ADJUDICATION.md	Independent cube/XOR deductions do not close all-size recurrent exhaustion, clock or maximum fibre; no paper.
D2G	D2G;metamour	second_replacement	DOCUMENTED_PROPOSAL	1	KILL_EXACT_EXTERNAL_METAMOUR_OPERATOR	Full simple labelled graphs; uv in output iff old distance exactly2	scouting/second_replacement_20260905/CONTRACTS_AND_PROOF.md	scouting/second_replacement_20260905/SOURCE_SCOPE_AND_HISTORY.md|SECOND_REPLACEMENT_ROOT_ADJUDICATION.md	External literal owner arXiv2409.02306 Def2.1. Failed current intake weight, never new-system credit.
CCW	CCW;circumcenter_window	second_replacement	DOCUMENTED_PROPOSAL	1	KILL_CLASSICAL_WINDOW_FINITE_FIELD_SPECIALIZATION	All ordered triples in F_p^2 odd prime; noncollinear (A,B,C)->(B,C,circumcenter); collinear triples hold	scouting/second_replacement_20260905/CONTRACTS_AND_PROOF.md	scouting/second_replacement_20260905/SOURCE_SCOPE_AND_HISTORY.md|SECOND_REPLACEMENT_ROOT_ADJUDICATION.md	Classical moving ICS with arithmetic and singular extension; no whole real-to-finite-field theorem transfer asserted. Failed current intake, zero eligible-system credit.
OR	OR;ternary_ordered_reset	replacement_after_cmm	DOCUMENTED_PROPOSAL	1	SELECT_INTERNAL_AMBER	Cyclic q-ary words; F_i=(x_i+1) mod q if x_i<=x_(i+1), else0; admitted theorem only q=3	scouting/replacement_after_cmm_20260905/OR_TERNARY_THEOREM_CONTRACT.md|scouting/replacement_after_cmm_20260905/SCOUT_DISPOSITIONS.md	reviews/or_stage1_20260905/GATE_REPORT.md|OR_ROOT_ADJUDICATION.md	Fresh P202 replacement; q variants one attempted family. Generic parking and traffic are zero credit; no manuscript review implied.
AR	AR;agreement_reset	replacement_after_cmm	DOCUMENTED_PROPOSAL	1	KILL_THIN_POLARITY_NO_HIGH_Q_SPINE	Cyclic q-ary words; F_i=(x_i+1) mod q if x_i=x_(i+1), else0	scouting/replacement_after_cmm_20260905/SCOUT_DISPOSITIONS.md	scouting/replacement_after_cmm_20260905/SCOUT_DISPOSITIONS.md	q2 directed NOR has F^3=R F; P106 close but not asserted literal conjugacy. q>=3 no all-parameter spine.
DA	DA;disagreement_advance	replacement_after_cmm	DOCUMENTED_PROPOSAL	1	KILL_TRAFFIC_FACTOR_THIN	Cyclic q-ary words; F_i=(x_i+1) mod q if x_i!=x_(i+1), else x_i	scouting/replacement_after_cmm_20260905/SCOUT_DISPOSITIONS.md	scouting/replacement_after_cmm_20260905/SCOUT_DISPOSITIONS.md	Difference factor exactly P169 unit-service queue; original phase remains a q-fold lift, not claimed full historical conjugacy. Counted failed current proposal.
CSP	CSP;cross_sum_pair	geometry_reopen	DOCUMENTED_PROPOSAL	1	KILL_NO_ALL_PARAMETER_TEMPORAL_SPINE	Full (F_q^3)^2, odd q; (u,v)->(u cross v,u+v)	scouting/geometry_reopen_20260905/SCOUT_AND_DISPOSITION.md	scouting/geometry_reopen_20260905/SCOUT_AND_DISPOSITION.md	Different literal from current XPF. Complete elementary inverse but nonlinear norm recurrence lacks all-q temporal theorem; one attempted map, not its five old intake exclusions.
SDD	SDD	algebra	DOCUMENTED_PROPOSAL	1	RESERVE_BOUNDED_CONTRACT	f:F_p->F_p; D(f)(x)=f(x+f(x))-f(x), odd p, synchronous	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	reviews/stage1_hostile_gate_graph.md	Affine stratum is not full-carrier dynamics.
ZCI	ZCI;C02_ZAD	algebra;word_poset	DOCUMENTED_PROPOSAL	1	RESERVE_NEAR_P196	Cyclic chain words; T_i=max(M-x_i,min(x_i,x_(i+1)))	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Exact cross-lane duplicate merged.
CRC	CRC	algebra	DOCUMENTED_PROPOSAL	1	KILL_GROUP_WORD_TRANSFER	Cyclic G^m; T_i=x_(i+1)^(-1)*x_i*x_(i+1)	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
LNV	LNV	algebra	DOCUMENTED_PROPOSAL	1	KILL_DIRECT_MARKOFF_VIETA_OWNER	F_p^3; choose least coordinate that is nonzero nonsquare, replace x_i by product(other two)-x_i; hold if none	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
QCT	QCT	algebra	DOCUMENTED_PROPOSAL	1	KILL_UNIVARIATE_QUADRATIC_REDUCTION	Monic X^2+aX+b over odd F_p; (a,b)->(a+2b,b^2+ab+b)	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
SHI	SHI;C07_SHI	algebra;word_poset	DOCUMENTED_PROPOSAL	1	KILL_P196_ARCHITECTURE	Cyclic words of ideals of bottom-plus-r-leaves poset; T_i=A_i=>A_(i+1)	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Exact cross-lane duplicate merged.
FCI	FCI	algebra	DOCUMENTED_PROPOSAL	1	KILL_NEAR_P196	Cyclic chain words; T_i=M if x_i<=x_(i+1), else max(M-x_i,x_(i+1))	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
GRC	GRC	algebra	DOCUMENTED_PROPOSAL	1	KILL_FACTOR_P196_Q2	Cyclic chain words; T_i=M if x_i<=x_(i+1), else 0	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
KDC	KDC;C10_KDI	algebra;word_poset	DOCUMENTED_PROPOSAL	1	KILL_EXACT_ONE_STEP_ROTATION	Cyclic chain words; T_i=max(M-x_i,x_(i+1))	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Exact cross-lane duplicate merged.
MAR	MAR	algebra	DOCUMENTED_PROPOSAL	1	KILL_BILINEAR_SHIFT_REGISTER	Pairs of 2x2 F_p matrices; (A,B)->(B,AB+BA)	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	
BES	BES;C09_BES	algebra;word_poset	DOCUMENTED_PROPOSAL	1	KILL_VIETA_NORMAL_FORM_COMPRESSION	k-tuples over Boolean ring F_2^r; replace tuple by all elementary symmetric coefficients	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Exact cross-lane duplicate merged.
BPS	BPS;word_pre_BPS	algebra;word_poset	HISTORICAL_CONTROL	0	KILL_LITERAL_RETIRED_FAMILY	Cyclic nonzero binary vectors; T_i=x_i star x_(i+1), x star x=x, x star y=x+y if unequal	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md|scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Retired P160 length-three literal family; parameter extension not new breadth.
TCSD	C01_TCSD;TCSD;tcsd_helper	word_poset;replacement_algebra_control	DOCUMENTED_PROPOSAL	1	SELECT_INTERNAL_AMBER	Ternary cyclic words; D_i=sgn(x_(i+1)-x_i)	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	reviews/stage1_hostile_gate_algebra.md|reviews/stage1_hostile_gate_graph.md	Helper occurrence in replacement-algebra script is not another candidate.
PDM	C03_PDM;PDM	word_poset	DOCUMENTED_PROPOSAL	1	KILL_SORTING_COALESCENCE	Positive compositions; simultaneously delete each cut after a_i>a_(i+1), summing maximal strict descending runs	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	
LPC	C04_LPC;LPC	word_poset	DOCUMENTED_PROPOSAL	1	KILL_P191_CLOCK_EXTREMIZER	Positive compositions; delete cut after each old strict interior local peak	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Stirling-lane exclusion mention is an alias, not an added row.
TDS	C05_TDS;TDS	word_poset	DOCUMENTED_PROPOSAL	1	KILL_STANDARD_SORTING	SYT of fixed size; swap least consecutive labels in incomparable cells inverted in row-reading order; hold if none	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	
FHN	C06_FHN;FHN	word_poset	DOCUMENTED_PROPOSAL	1	KILL_STANDARD_CLOSURE	Ideals of fence 1<2>3<...; take Heyting pseudocomplement	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	
HMR	C08_HMR;HMR;algebra_additional_lattice_control	word_poset;algebra_additional	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_LATTICE_SPLIT	Pair of star-Heyting ideals; (A,B)->(A meet B,A=>B)	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md|scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md|scouting/algebra_lane/BREADTH_AND_KILL_LEDGER.md	Algebra unranked extra control is exact same word-lane map.
SLI	C11_SLI;SLI	word_poset	HISTORICAL_CONTROL	0	KILL_P143_RESTRICTION	Strict labelled posets; x<new y iff strict lower set of x is a proper subset of strict lower set of y	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/COLLISION_FIREWALL.md	Declared exact restriction of occupied row-support inclusion engine.
BCE	C12_BCE;BCE	word_poset	DOCUMENTED_PROPOSAL	1	KILL_COORDINATE_INVOLUTION	Boxed partitions; erode one column, then reverse-and-box-complement	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	
CMM	CMM	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_CONTRIBUTION_ROOT_REWIRED_LAP_ERASURE	Odd-cycle matchings; flip arc from least monomer to next clockwise monomer; with one monomer flip first two clockwise edges	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	P198_REOPEN_ADJUDICATION.md|reviews/p198_a/REVIEW_A.md|reviews/p198_mechanism_gate_20260905/MECHANISM_GATE.md	Historical SELECT superseded; all inverse laws collapse to parity-filtered erasure and root rewiring. Current failed-attempt weight retained.
LGB	LGB	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_VALUE_THIN	Rooted labelled trees; move least-labelled leaf of depth>=2 to grandparent; hold if none	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md|scouting/final_seat_tree_lane_20260905/PROOF_PACKAGE.md	SECOND_REPLACEMENT_ROOT_ADJUDICATION.md	Unchanged reserve re-entry, no extra row. Inverse simplification correct but generic/previously supplied mechanism subtraction still fails admission; no exact historical conjugacy asserted.
LAP	LAP	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_BEHIND_CMM_AP1_GCM	Path matchings; flip alternating interval between two least monomers; hold with fewer than two	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	Different literal from CMM; mechanism kill does not merge map records.
LDF	LDF	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_GRAPH_SQUARE_CLOSURE	Simple graphs; add lex-least nonedge with an old common neighbor; hold if none	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	
LSL	LSL	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_BASIS_SORT	Rooted labelled trees; reattach least-labelled depth>=2 vertex with its subtree directly to root; hold if none	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	
FCM	FCM	graph_matching	DOCUMENTED_PROPOSAL	1	KILL_MCJ_PM1	Permutations in min-first cycles sorted by minima; concatenate first two cycle words; hold if at most one cycle	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/COLLISION_FIREWALL.md	Firewall expressly distinguishes splice orientation from MCJ; count failed literal proposal, not independent mechanism.
LVR	LVR	graph_matching	HISTORICAL_CONTROL	0	KILL_EXACT_CONJUGACY_S01	Permutation pi; replace entries by stable ranks of (right Lehmer digit,position)	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/COLLISION_FIREWALL.md	Exact S01/PR1 conjugacy; historical control.
CASR	CASR;Q01_ASR	graph_matching	HISTORICAL_CONTROL	0	KILL_DIRECT_SCOUT_REPLAY	Permutation pi; stable rank of (pi_i+pi_(i+1),i) with cyclic indices	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/COLLISION_FIREWALL.md	Exact historical Q01_ASR.
OTP	OTP;C20_OTP	graph_matching	HISTORICAL_CONTROL	0	KILL_C20_DIRECT	Simple graphs; retain each old edge iff its endpoints have odd common-neighbor count	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/COLLISION_FIREWALL.md	
OTC	OTC;X02	graph_matching	HISTORICAL_CONTROL	0	KILL_X02_DIRECT	Simple graphs; Seidel-switch cut of vertices incident to an odd number of old triangles	scouting/graph_matching_lane/BREADTH_AND_KILL_LEDGER.md	scouting/graph_matching_lane/COLLISION_FIREWALL.md	
LZK	LZK	replacement	DOCUMENTED_PROPOSAL	1	KILL_COMPONENTWISE_P100_HF1_ERASURE	Proper q-colorings of K_(r,s); swap colors0,1 on Kempe component of least-labelled zero; hold if none	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	reviews/lzk_stage1_20260905/GATE_REPORT.md	Count a screened literal proposal, not a surviving independent subsystem.
PZK	PZK	replacement	DOCUMENTED_PROPOSAL	1	KILL_BATCH_DUPLICATE_BEHIND_LZK	Adjacent-unequal path edge-color words; swap0,1 on bichromatic component of leftmost zero; hold if none	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	Different carrier/update from LZK; same-cluster kill is not exact literal dedup.
LFAS	LFAS;LFAS_reentry	replacement;lfas_reentry	DOCUMENTED_PROPOSAL	1	SELECT_INTERNAL_AMBER	Binary rxs matrices; complement lex-least alternating rectangle in order(i,k,a,b); hold if none	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md|scouting/lfas_reentry_20260905/THEOREM_CONTRACT_AND_PROOF.md	reviews/lfas_stage1_20260905/GATE_REPORT.md	Re-entry strengthens same literal; counted exactly once.
LFCTR	LFCTR;Q01_cyclic_triangle	replacement	HISTORICAL_CONTROL	0	KILL_EXACT_INTERNAL_Q01	Tournaments; reverse lex-first cyclic triangle; hold if none	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md|../papers147_151_sequence/scouting/combinatorial/SCOUT.md#4.9	LFCTR_HISTORY_COUNT_CORRECTION.md	Exact full oldQ01 literal including lexleast scheduler; identity labelled-map equality. Prior changed-scheduler note was incorrect; preserved old lane remains historical.
BDC	BDC	replacement	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_PRUNING	Simple graphs; simultaneously delete every old bridge	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	
GMP	GMP	replacement	DOCUMENTED_PROPOSAL	1	KILL_GREEDY_AUGMENTATION_CMM_CLUSTER	Complete-graph matchings; join two least monomers; hold with fewer than two	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	
SCR	SCR	replacement	DOCUMENTED_PROPOSAL	1	KILL_COMPONENTWISE_ACTION	Oriented simple graphs; simultaneously reverse every arc internal to each SCC; cross-SCC arcs unchanged	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	
HCI	HCI	replacement	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_PRUNING	k-uniform hypergraphs; retain current edges meeting every other current edge in at most one vertex	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	
OCI	OCI	replacement	DOCUMENTED_PROPOSAL	1	KILL_COMPONENTWISE_ACTION	Permutations; simultaneously invert every odd-length disjoint cycle; even cycles unchanged	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_lane/BREADTH_AND_KILL_LEDGER.md	
FOSP	FOSP	replacement_stirling	DOCUMENTED_PROPOSAL	1	SELECT_INTERNAL_AMBER	Order-n Stirling permutations; delete both1s, decrement remaining labels, insert nn at old first1 gap; n=0,1 hold	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	reviews/fosp_stage1_20260905/DELTA_ACCEPTANCE.md	Exact local factor c o J_1 disclosed and zero-credit source subtraction accepted.
RBCR	RBCR	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_GENERIC_COMPONENT_ROTATION	Stirling words; rotate maximal depth-zero root blocks one place left; hold with<=1 block	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
O1CR	O1CR	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_FINITE_ACTION_NO_TAIL	Stirling word A1B1C -> B1C1A; empty holds	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
MMGI	MMGI	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_INVOLUTION	Stirling words; remove max pair nn at gap g and reinsert at gap2n-2-g; empty holds	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
LICX	LICX	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_ORDERED_TREE_PRUNING_SHELL	Increasing plane trees; extract rightmost child of least nonroot internal vertex to just after that vertex in its parent's child list; hold if none	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
RISA	RISA	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_SORTING_CLOSURE_SHELL	Increasing plane trees; first consecutive root children with labels a<b: make b rightmost child of a; hold if none	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
LIF	LIF	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_STANDARD_TRADE_NO_CLOCK	Labelled Latin squares; switch lex-least 2x2 pattern a b / b a with a<b; hold if none	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
LCTP	LCTP	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_MARKOV_BASIS_ORIENTATION_SHELL	Nonnegative contingency tables; least i<j,k<l with positive NW,SE: subtract1 there and add1 to NE,SW; hold if none	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
DORT	DORT	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_LOCAL_INVOLUTION	Complete ordered binary automata; swap the two outgoing targets of least state with unequal targets; hold if none	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
OBBS	OBBS	replacement_stirling	DOCUMENTED_PROPOSAL	1	KILL_BASIS_SHEAR_ACTION	Ordered independent tuples over F_2; add first vector to second, others unchanged; hold for k<2	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	scouting/replacement_stirling_lane/BREADTH_AND_KILL_LEDGER.md	
GBE	GBE;R01	root_graph_bellman	DOCUMENTED_PROPOSAL	1	KILL_CANONICAL_BELLMAN_CLOSURE	Finite graph heights0..h; T_v=min(x_v,min_(u~v)(x_u+1))	scouting/root_graph_bellman/THEOREM_SPIKE.md	reviews/stage1_hostile_gate_algebra.md	
SCT	SCT;R02;RC13_CPT	root_self_cardinality_toggle	HISTORICAL_CONTROL	0	KILL_LITERAL_REPEAT_RC13_CPT	Subsets A of[n]; A -> A symmetric-difference [|A|]	scouting/root_self_cardinality_toggle/THEOREM_SPIKE.md	reviews/stage1_hostile_gate_algebra.md	Stronger exact-history kill supersedes weaker P188 resemblance.
LSPO	LSPO	root_least_source_path	HISTORICAL_CONTROL	0	KILL_EXACT_INTERNAL_HISTORY	Labelled path orientations; reverse edges incident to least-labelled source	scouting/root_least_source_path/THEOREM_CONTRACT.md	reviews/stage1_hostile_gate_lspo.md	Exact previously aborted P147-P151 literal; repeated mentions in replacement lanes add no row.
CSL	CSL;CSL_EXACT_FACTOR	replacement_algebra	DOCUMENTED_PROPOSAL	1	KILL_EXACT_TCSD_FACTOR	Ternary cyclic words; C_i=sgn(x_(i-1)+x_(i+1)-2x_i)	reviews/stage1_hostile_gate_csl_graph.md	reviews/stage1_hostile_gate_csl_graph.md	Different displayed update, but C=rho^(-1)D^2 consumes all novelty; counted failed current proposal only.
CPD	CPD	fifth_fresh	DOCUMENTED_PROPOSAL	1	KILL_THIN_MARKED_PARKING_MARGINAL	All circular parking preferences; output displacement indexed by arriving CAR	scouting/fifth_fresh_20260905/CPD_THEOREM_CONTRACT.md	reviews/cpd_cspd_owner_gate_20260905/OWNER_TRANSFER_GATE.md	Distinct from CSPD; immutable pilot transcript is not selection.
CSPD	CSPD	fifth_fresh	DOCUMENTED_PROPOSAL	1	KILL_OWNER_TRANSFER	All circular parking preferences; output displacement indexed by final SITE	scouting/fifth_fresh_20260905/CSPD_THEOREMS_AND_OWNER_KILL.md	reviews/cpd_cspd_owner_gate_20260905/OWNER_TRANSFER_GATE.md	Every circular fibre translates to old ICERM site-normalization class.
