prime,profile,prefix_level,component_primes,kernel_lower_bound,kernel_bound_strictly_grows,component_kernel_rule,full_endpoint_in_Ef,finite_prefix_only,scope
2,illegal_uniformizer_components,1,3,3,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,1,3,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,2,3;5,15,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,2,3;5,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,3,3;5;7,105,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,3,3;5;7,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,4,3;5;7;11,1155,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,4,3;5;7;11,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,5,3;5;7;11;13,15015,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,5,3;5;7;11;13,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,6,3;5;7;11;13;17,255255,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,6,3;5;7;11;13;17,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
2,illegal_uniformizer_components,7,3;5;7;11;13;17;19,4849845,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
2,legal_unit_components,7,3;5;7;11;13;17;19,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,1,2,2,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,1,2,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,2,2;5,10,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,2,2;5,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,3,2;5;7,70,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,3,2;5;7,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,4,2;5;7;11,770,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,4,2;5;7;11,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,5,2;5;7;11;13,10010,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,5,2;5;7;11;13,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,6,2;5;7;11;13;17,170170,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,6,2;5;7;11;13;17,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
3,illegal_uniformizer_components,7,2;5;7;11;13;17;19,3233230,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
3,legal_unit_components,7,2;5;7;11;13;17;19,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,1,2,2,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,1,2,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,2,2;3,6,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,2,2;3,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,3,2;3;7,42,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,3,2;3;7,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,4,2;3;7;11,462,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,4,2;3;7;11,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
