claim_id,claim_category,claim_text,support_class,source_id,source_title,primary_url,alternate_url,exact_locator,access_date,verification_status,human_confirmation_status,domain_caveat,novelty_consequence,evidence_token
P27-S1-FLOW,DIRECT_STRUCTURAL_PRIOR,The laminated geodesic flow is defined leafwise and restricts to the ordinary geodesic flow on each hyperbolic leaf.,PRIMARY_SOURCE_TECHNICAL,S1,Horocycle flows for laminations by hyperbolic Riemann surfaces and Hedlund's theorem,https://arxiv.org/pdf/0711.2307,https://www.aimsciences.org/article/doi/10.3934/jmd.2016.10.113,"arXiv:0711.2307v4, pp.2-3, Section 2.2; PDF lines 138-183 in the verified web extraction",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,"Compact laminated setting; used for flow definition, not as proof of the noncompact P27 theorem.",OBJECT_AND_FLOW_FRAMEWORK_IS_PRIOR,PROVED_BY_SOURCE
P27-S1-APERIODIC,DIRECT_RESULT_PRIOR,A compact hyperbolic lamination example without periodic geodesic-flow orbits already exists.,PRIMARY_SOURCE_TECHNICAL,S1,Horocycle flows for laminations by hyperbolic Riemann surfaces and Hedlund's theorem,https://arxiv.org/pdf/0711.2307,https://doi.org/10.3934/jmd.2016.10.113,"arXiv:0711.2307v4, p.12, Example 4; verified PDF lines 778-792",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,"The example is not the Gamma(3 n!) tower, but it directly defeats broad aperiodicity novelty.",BROAD_APERIODICITY_NOVELTY_REJECTED,PROVED_BY_SOURCE
P27-S1-UNIVERSAL,DIRECT_STRUCTURAL_PRIOR,The universal hyperbolic solenoid is a compact inverse-limit lamination with simply connected leaves.,PRIMARY_SOURCE_TECHNICAL,S1,Horocycle flows for laminations by hyperbolic Riemann surfaces and Hedlund's theorem,https://arxiv.org/pdf/0711.2307,https://arxiv.org/abs/0711.2307,"arXiv:0711.2307v4, pp.15-16, Example 6; verified PDF lines 923-930 and following",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,"Compact universal solenoid, not the noncompact factorial congruence chain.",SIMPLY_CONNECTED_LEAF_MECHANISM_IS_PRIOR,PROVED_BY_SOURCE
P27-S2-PUNCTURED,CLOSEST_NONCOMPACT_STRUCTURAL_PRIOR,The punctured solenoid is the noncompact inverse limit over finite-index modular covers and its leaves are dense unit disks.,PRIMARY_SOURCE_TECHNICAL,S2,Teichmuller theory of the punctured solenoid,https://arxiv.org/pdf/math/0508476,https://doi.org/10.1007/s10711-007-9226-9,"Introduction pp.1-2 and Section 2, Definition 2.1 with following discussion; verified web extraction lines 20-22 and 91-110",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,Directed system of all finite covers; not the one frozen Gamma(3 n!) chain and not a period-owner audit.,NONCOMPACT_MODULAR_SOLENOID_STRUCTURE_IS_PRIOR,PROVED_BY_SOURCE
P27-S3-FLOW,OBJECT_TAXONOMY_PRIOR,A hyperbolic solenoidal geodesic flow acts leafwise on the unit tangent bundle.,PRIMARY_SOURCE_TECHNICAL,S3,Horocyclic trajectories in hyperbolic solenoidal surfaces of finite type,https://arxiv.org/pdf/2411.18418,https://ems.press/journals/ggd/articles/14299725,"arXiv:2411.18418v2, p.7, Definition 4; verified PDF lines 401-408",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,Source definitions support taxonomy; P27's no-period proof remains local.,LEAFWISE_FLOW_TAXONOMY_IS_PRIOR,PROVED_BY_SOURCE
P27-S3-FINITE-TYPE,OBJECT_TAXONOMY_PRIOR,Noncompact finite-area inverse limits of finite covers form the hyperbolic-solenoidal finite-type object class used by P27.,PRIMARY_SOURCE_TECHNICAL,S3,Horocyclic trajectories in hyperbolic solenoidal surfaces of finite type,https://arxiv.org/pdf/2411.18418,https://doi.org/10.4171/GGD/967,"arXiv:2411.18418v2, p.8 Definition 5 and pp.13-14 Section 4 setup; verified PDF lines 429-441 and 738-768",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,The paper studies horocycle dynamics and does not state P27's Gamma(3 n!) geodesic-period proposition.,NONCOMPACT_FINITE_TYPE_OBJECT_CLASS_IS_PRIOR,PROVED_BY_SOURCE
P27-S3-MCCORD,OBJECT_TAXONOMY_PRIOR,Inverse limits of finite regular covers are McCord solenoids; normal subgroup towers give the regular-cover case.,PRIMARY_SOURCE_TECHNICAL,S3,Horocyclic trajectories in hyperbolic solenoidal surfaces of finite type,https://arxiv.org/pdf/2411.18418,https://ems.press/journals/ggd/articles/14299725,"arXiv:2411.18418v2, pp.12-14, Section 3.3, Definition 7 and tower setup; verified PDF lines 655-680 and 740-751",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,Taxonomic support only; no finite-owner firewall or exact factorial-chain theorem is attributed to the source.,MCCORD_AND_REGULAR_TOWER_TERMINOLOGY_IS_PRIOR,PROVED_BY_SOURCE
P27-S4-KERNEL,GROUP_CHAIN_STRUCTURAL_PRIOR,The kernel of a group chain is its subgroup intersection and is naturally identified with the fundamental group of the corresponding leaf.,PRIMARY_SOURCE_TECHNICAL,S4,Wild solenoids,https://arxiv.org/pdf/1702.03032,https://doi.org/10.1090/tran/7339,"arXiv:1702.03032, p.17, Definition 5.5 and following paragraph; verified PDF lines 1168-1194",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,"Weak-solenoid setup has a closed compact base; it is comparison evidence, not a substitute for P27's noncompact proof.",GROUP_INTERSECTION_LEAF_MECHANISM_IS_PRIOR,PROVED_BY_SOURCE
P27-S5-MALCEV,STANDARD_THEOREM_SOURCE,Finitely generated linear groups are residually finite (Malcev's theorem).,PRIMARY_EXPOSITORY_SOURCE,S5,Linear groups - Malcev's theorem and Selberg's lemma,https://arxiv.org/abs/1306.2385,https://arxiv.org/pdf/1306.2385,"arXiv:1306.2385v1, p.1, Introduction, displayed Theorem (Malcev 1940), with residual-finiteness definition immediately following; verified PDF lines 4-16",2026-08-28,PRIMARY_SOURCE_WEB_VERIFIED,HUMAN_CONFIRMATION_PENDING,Used only for residual finiteness of the cocompact Fuchsian surface group; the P27 tower and period bound are proved locally.,RESIDUAL_FINITE_INPUT_IS_STANDARD,PROVED_BY_SOURCE
P27-LOCAL-COMMON,LOCAL_COMPARISON_THEOREM,"For a torsion-free Fuchsian group and a descending normal finite-index tower with trivial intersection, the coordinatewise inverse-limit geodesic flow has no periodic point and every fixed infinite-order owner's quotient orders divide forward and diverge.",LOCAL_PROOF,P27-R4-R6,P27 residual-tower common-core theorem,notes/round4_period_escape_theorem.md,notes/round6_compact_cusped_positioning_audit.md,Round-6 common-core proposition and proof,2026-08-28,LOCAL_PROOF_REPLAYED,NOT_APPLICABLE_LOCAL_PROOF,Elementary unifying proposition with direct structural prior; no broad first/novel claim.,COMPARATIVE_SYNTHESIS_NOT_GENERAL_APERIODICITY_NOVELTY,PROVED
P27-LOCAL-CUSPED,LOCAL_EXPLICIT_SPECIALIZATION,"The Gamma(3 n!) specialization has an explicit PSL-sign residual-intersection proof and exact finite quotient-order diagnostics, but the three old matrix owners lack full conjugacy-primitivity certification.",LOCAL_PROOF_AND_EXACT_LEDGER,P27-R1-R4,P27 factorial congruence specialization,notes/stage1_research_brief.md,results/round4_period_escape_ledger.csv,Stage-1 no-go proposition and Round-4 finite-prefix theorem,2026-08-28,LOCAL_PROOF_AND_ARTIFACT_REPLAYED,NOT_APPLICABLE_LOCAL_PROOF,Exact-chain non-hit is search-bounded; whole-g closing times are not called primitive minimal periods.,EXPLICIT_CASE_ONLY_NO_ABSOLUTE_NOVELTY,PROVED
P27-LOCAL-CLOSED,LOCAL_QUANTITATIVE_CONTROL,"The closed genus-2 residual/homology tower removes cusps, congruence, and arithmetic input; primitive homology gives n! dividing o_n and exact minimal lifted period T_n=o_n ell(g)>=n! ell(g).",LOCAL_PROOF_AND_EXACT_LEDGER,P27-R5,P27 closed-surface factorial control theorem,notes/round5_cocompact_control_theorem.md,results/round5_cocompact_homology_escape_ledger.csv,Round-5 Theorems 1-2 and primitive-geodesic corollary,2026-08-28,LOCAL_PROOF_AND_ARTIFACT_REPLAYED,NOT_APPLICABLE_LOCAL_PROOF,Full residual-core quotient orders are not computed; only exact homology lower bounds are machine replayed.,QUANTITATIVE_COMPACT_CONTROL_SUPPORTS_SHORT_METHOD_NOTE,PROVED
P27-DECISION-THREE-WAY,WRITTEN_GO_NO_GO,Proceed with a short compact-versus-cusped comparative owner-audit; reject a standalone new aperiodicity theorem and reject same-owner Route-A A2 for the inverse-limit flow.,STAGE_1_POSITIONING_DECISION,P27-R6,P27 Round-6 three-way go/no-go,notes/round6_go_no_go_decision.md,paper/round6_contribution_lock.md,Frozen three-way decision block,2026-08-28,AUTHOR_PROJECT_DECISION_RECORDED,HUMAN_SOURCE_LOCATOR_CONFIRMATION_PENDING,Scientific positioning decision does not attest that the author personally read S1-S5.,GO_SHORT_NOTE_NO_GENERAL_NOVELTY_NO_A2,MODELING_CHOICE
