owner_id,surface_id,surface_group_presentation,continuous_time_system,clock,owner_word,homology_vector_a1_b1_a2_b2,homology_content,base_conjugacy_primitive,base_primitivity_certificate,level_n,factorial_modulus_m_n,canonical_residual_core,tower_subgroup,exact_homology_image_order,full_quotient_order_status,full_quotient_order_symbol,proved_order_divisibility,certified_full_order_lower_bound,previous_lower_bound,previous_bound_divides,minimal_lift_period_symbol,certified_minimal_period_lower_bound,theorem_evidence,finite_ledger_evidence,finite_statistic_owner,arithmetic_or_prime_target_used,formal_route_a_tuple,route_b_invocation_allowed
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,1,1,R_1=INTERSECTION_NORMAL_INDEX_LE_1,Gamma_1=R_1_INTERSECT_KERNEL_H1_MOD_1,1,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_1(G2-H1-A),1_DIVIDES_o_1,1,,true,o_1(G2-H1-A)*ell(G2-H1-A),>=1*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,2,2,R_2=INTERSECTION_NORMAL_INDEX_LE_2,Gamma_2=R_2_INTERSECT_KERNEL_H1_MOD_2,2,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_2(G2-H1-A),2_DIVIDES_o_2,2,1,true,o_2(G2-H1-A)*ell(G2-H1-A),>=2*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,3,6,R_3=INTERSECTION_NORMAL_INDEX_LE_3,Gamma_3=R_3_INTERSECT_KERNEL_H1_MOD_6,6,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_3(G2-H1-A),6_DIVIDES_o_3,6,2,true,o_3(G2-H1-A)*ell(G2-H1-A),>=6*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,4,24,R_4=INTERSECTION_NORMAL_INDEX_LE_4,Gamma_4=R_4_INTERSECT_KERNEL_H1_MOD_24,24,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_4(G2-H1-A),24_DIVIDES_o_4,24,6,true,o_4(G2-H1-A)*ell(G2-H1-A),>=24*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,5,120,R_5=INTERSECTION_NORMAL_INDEX_LE_5,Gamma_5=R_5_INTERSECT_KERNEL_H1_MOD_120,120,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_5(G2-H1-A),120_DIVIDES_o_5,120,24,true,o_5(G2-H1-A)*ell(G2-H1-A),>=120*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,6,720,R_6=INTERSECTION_NORMAL_INDEX_LE_6,Gamma_6=R_6_INTERSECT_KERNEL_H1_MOD_720,720,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_6(G2-H1-A),720_DIVIDES_o_6,720,120,true,o_6(G2-H1-A)*ell(G2-H1-A),>=720*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,7,5040,R_7=INTERSECTION_NORMAL_INDEX_LE_7,Gamma_7=R_7_INTERSECT_KERNEL_H1_MOD_5040,5040,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_7(G2-H1-A),5040_DIVIDES_o_7,5040,720,true,o_7(G2-H1-A)*ell(G2-H1-A),>=5040*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-A,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1,"(1,0,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,8,40320,R_8=INTERSECTION_NORMAL_INDEX_LE_8,Gamma_8=R_8_INTERSECT_KERNEL_H1_MOD_40320,40320,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_8(G2-H1-A),40320_DIVIDES_o_8,40320,5040,true,o_8(G2-H1-A)*ell(G2-H1-A),>=40320*ell(G2-H1-A),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-AB,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1*b1,"(1,1,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,1,1,R_1=INTERSECTION_NORMAL_INDEX_LE_1,Gamma_1=R_1_INTERSECT_KERNEL_H1_MOD_1,1,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_1(G2-H1-AB),1_DIVIDES_o_1,1,,true,o_1(G2-H1-AB)*ell(G2-H1-AB),>=1*ell(G2-H1-AB),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-AB,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1*b1,"(1,1,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,2,2,R_2=INTERSECTION_NORMAL_INDEX_LE_2,Gamma_2=R_2_INTERSECT_KERNEL_H1_MOD_2,2,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_2(G2-H1-AB),2_DIVIDES_o_2,2,1,true,o_2(G2-H1-AB)*ell(G2-H1-AB),>=2*ell(G2-H1-AB),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
G2-H1-AB,CLOSED_ORIENTED_HYPERBOLIC_SURFACE_GENUS_2,"<a1,b1,a2,b2 | [a1,b1][a2,b2]=1>",UNIT_SPEED_GEODESIC_FLOW,HYPERBOLIC_ARCLENGTH,a1*b1,"(1,1,0,0)",1,true,PRIMITIVE_HOMOLOGY_VECTOR_FORBIDS_A_PROPER_GROUP_POWER,3,6,R_3=INTERSECTION_NORMAL_INDEX_LE_3,Gamma_3=R_3_INTERSECT_KERNEL_H1_MOD_6,6,NOT_ENUMERATED_LOWER_BOUND_ONLY,o_3(G2-H1-AB),6_DIVIDES_o_3,6,2,true,o_3(G2-H1-AB)*ell(G2-H1-AB),>=6*ell(G2-H1-AB),PROVED,NUMERICALLY_CERTIFIED,COCOMPACT_RESIDUAL_HOMOLOGY_TOWER_PLUS_MARKED_GEODESIC,false,UNASSIGNED,false
