candidate_id,owner_id,owner_word,homology_vector,homology_content,level_n,modulus_N,cover_subgroup,deck_group,deck_degree,exact_owner_order_in_deck_group,primitive_lift_component_count,physical_lift_period,quadrant_id,clock,log_multiplicity_normalization,formal_owner_factor,first_nonconstant_degree,coefficient_at_first_nonconstant_degree,all_level_or_asymptotic_status,same_as_round7_owner,arithmetic_or_target_data_used,route_b_invocation_allowed
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,1,1,H_1=KER_H1_MOD_1,(Z/1Z)^4,1,1,1,1*ell(G2-H1-A),Q00_RAW_CLOCK_RAW_MULTIPLICITY,T_PHYSICAL,NONE,(1-x_G2-H1-A^1)^(-1),1,1,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,1,1,H_1=KER_H1_MOD_1,(Z/1Z)^4,1,1,1,1*ell(G2-H1-A),Q01_RAW_CLOCK_GEOMETRIC_MEAN,T_PHYSICAL,LOG_Z_REN=(1/N^3)*LOG_Z_PANEL,(1-x_G2-H1-A^1)^(-1),1,1,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,1,1,H_1=KER_H1_MOD_1,(Z/1Z)^4,1,1,1,1*ell(G2-H1-A),Q10_RESCALED_CLOCK_RAW_MULTIPLICITY,T_REN=T_PHYSICAL/N,NONE,(1-x_G2-H1-A^1)^(-1),1,1,COEFFICIENT_OF_X_DIVERGES_AS_N_CUBED,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,1,1,H_1=KER_H1_MOD_1,(Z/1Z)^4,1,1,1,1*ell(G2-H1-A),Q11_RESCALED_CLOCK_GEOMETRIC_MEAN,T_REN=T_PHYSICAL/N,LOG_Z_REN=(1/N^3)*LOG_Z_PANEL,(1-x_G2-H1-A^1)^(-1),1,1,EXACT_BASE_OWNER_FACTOR_AT_EVERY_LEVEL,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,2,2,H_2=KER_H1_MOD_2,(Z/2Z)^4,16,2,8,2*ell(G2-H1-A),Q00_RAW_CLOCK_RAW_MULTIPLICITY,T_PHYSICAL,NONE,(1-x_G2-H1-A^2)^(-8),2,8,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,2,2,H_2=KER_H1_MOD_2,(Z/2Z)^4,16,2,8,2*ell(G2-H1-A),Q01_RAW_CLOCK_GEOMETRIC_MEAN,T_PHYSICAL,LOG_Z_REN=(1/N^3)*LOG_Z_PANEL,(1-x_G2-H1-A^2)^(-1),2,1,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,2,2,H_2=KER_H1_MOD_2,(Z/2Z)^4,16,2,8,2*ell(G2-H1-A),Q10_RESCALED_CLOCK_RAW_MULTIPLICITY,T_REN=T_PHYSICAL/N,NONE,(1-x_G2-H1-A^1)^(-8),1,8,COEFFICIENT_OF_X_DIVERGES_AS_N_CUBED,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,2,2,H_2=KER_H1_MOD_2,(Z/2Z)^4,16,2,8,2*ell(G2-H1-A),Q11_RESCALED_CLOCK_GEOMETRIC_MEAN,T_REN=T_PHYSICAL/N,LOG_Z_REN=(1/N^3)*LOG_Z_PANEL,(1-x_G2-H1-A^1)^(-1),1,1,EXACT_BASE_OWNER_FACTOR_AT_EVERY_LEVEL,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,3,6,H_6=KER_H1_MOD_6,(Z/6Z)^4,1296,6,216,6*ell(G2-H1-A),Q00_RAW_CLOCK_RAW_MULTIPLICITY,T_PHYSICAL,NONE,(1-x_G2-H1-A^6)^(-216),6,216,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
P27-HOMOLOGY-RENORMALIZED-GEODESIC-PANEL,G2-H1-A,a1,"(1,0,0,0)",1,3,6,H_6=KER_H1_MOD_6,(Z/6Z)^4,1296,6,216,6*ell(G2-H1-A),Q01_RAW_CLOCK_GEOMETRIC_MEAN,T_PHYSICAL,LOG_Z_REN=(1/N^3)*LOG_Z_PANEL,(1-x_G2-H1-A^6)^(-1),6,1,COEFFICIENTWISE_TO_1_ON_EVERY_FIXED_PREFIX,false,false,false
