source_id	component_or_claim_role	exact_passage_locator	passage_status	hypothesis_or_scope	transfer_boundary	evidence_note
P31-S01	Finite-index modular-subgroup classification context		INCONCLUSIVE	Foundational subgroup-model ingredient	Fixed-pair Gamma_0(11) decision, oriented owner bytes, or negative certificates	anchor:none; metadata and abstract scope only; COI and retraction not checked
P31-S02	Arithmetic-geometric special-polygon machinery		INCONCLUSIVE	Candidate finite-domain ingredient	Complete positive and negative Gamma_0(11) conjugacy certificates	anchor:none; metadata and abstract scope only; no theorem-to-certificate locator frozen
P31-S03	Special polygons and finite subgroup data		INCONCLUSIVE	Candidate deterministic-domain fixture	Primitive-owner policy or all-pairs certificate completeness	anchor:none; metadata and abstract scope only; no exact theorem anchor frozen
P31-S04	Congruence-subgroup recognition algorithm context		INCONCLUSIVE	Subgroup-presentation check only	Conjugacy decision inside a fixed congruence subgroup	anchor:none; metadata and abstract scope only; claim-fitness is limited to recognition
P31-S05	Finite permutation and presentation tests for congruence identification		INCONCLUSIVE	Subgroup-model validation ingredient	Frozen conjugacy, orientation, or replay interface	anchor:none; publisher text available but not source-text verified; no claim locator frozen
P31-S06	Computable exact Fuchsian fundamental-domain context		INCONCLUSIVE	Modern finite-reduction candidate	Terminating complete pair-conjugacy certificate for frozen Gamma_0(11)	anchor:none; publisher text available but theorem hypotheses and outputs not verified
P31-S07	Ideal-class and integral-matrix correspondence		INCONCLUSIVE	Ambient arithmetic reduction ingredient	Gamma_0(11), determinant-one, orientation, inversion, or serialization	anchor:none; metadata-only verification; exact theorem hypotheses not frozen
P31-S08	Refinement of the ambient matrix-ideal correspondence		INCONCLUSIVE	Ambient correspondence refinement	Subgroup-constrained conjugacy completeness	anchor:none; publisher text available but not source-text verified
P31-S09	Hyperbolic SL(n,Z) conjugacy and ideal-class structure		INCONCLUSIVE	Ambient class-structure ingredient	Gamma_0(11) refinement or canonical owner-byte rule	anchor:none; publisher text available but exact project mapping not verified
P31-S10	Continued-fraction treatment of conjugacy in ambient SL_2(Z)		INCONCLUSIVE	Ambient exact-decision candidate	Gamma_0(11) restriction or replayable complete obstruction	anchor:none; metadata and abstract scope only; no subgroup-specialization locator frozen
P31-S11	Arithmetic-group conjugacy framework		INCONCLUSIVE	Algorithm-existence ingredient	Concrete P31 witness and obstruction serialization	anchor:none; scholarly chapter metadata and abstract scope; non-peer-reviewed in ratio audit
P31-S12	General algorithms for arithmetic groups		INCONCLUSIVE	Algorithm-existence ingredient	Frozen deterministic specialization, termination payload, or negative-certificate replay	anchor:none; metadata and abstract scope only; specialization remains unbound
P31-S13	Modern GL(n,Z) conjugacy algorithms		INCONCLUSIVE	Recent ambient-method anchor	SL orientation, Gamma_0(11), inversion policy, or P31 serialization	anchor:none; metadata and abstract scope only; group-transfer hypotheses not verified
P31-S14	Indefinite-form and class-number structure		INCONCLUSIVE	Aggregate census background	Specified-pair certificate or G/I/C estimand separation	anchor:none; metadata and abstract scope only; counts do not localize pair decisions
P31-S15	Modular-geodesic continued-fraction coding		INCONCLUSIVE	Canonical-reduction ingredient	Gamma_0(11) conjugacy solver or project owner ledger	anchor:none; metadata and abstract scope only; subgroup owner mapping not verified
P31-S16	Linear conjugacy algorithm surface for word-hyperbolic groups		INCONCLUSIVE	General completeness-route candidate	Primitive-root owner policy or P31 certificate bytes	anchor:none; pages corrected to 287-305 under R10PH2-C04; metadata and abstract scope only
P31-S17	Finite-list conjugacy algorithms in hyperbolic groups		INCONCLUSIVE	Batch-decision candidate	Frozen presentation, oriented encoding, or certificate translation	anchor:none; metadata and abstract scope only; project translation unproved
P31-S18	Centralizers and reversing-symmetry distinction		INCONCLUSIVE	Orientation and inversion stress reference	P31 oriented-versus-inverse owner equivalence	anchor:none; metadata and abstract scope only; project convention remains definitional
P31-S19	Pell equations and fundamental-unit background		INCONCLUSIVE	Arithmetic subroutine background	Peer-reviewed conjugacy theorem or complete subgroup negative certificate	anchor:none; official AMS record; full text not claim-verified; non-peer-reviewed in ratio audit
P31-S20	Ideal arithmetic, units, and Pell-algorithm background		INCONCLUSIVE	Implementation background	P31 equivalence, 9,453-pair completeness, or G/I/C weighting	anchor:none; publisher preview only; scholarly book non-peer-reviewed in ratio audit
P31-S21	Direct Gamma_0(N) primitive hyperbolic class-count formula		INCONCLUSIVE	Closest direct census precedent	Specified-pair decision, canonical orientation, or certificate serialization	anchor:none; authoritative record and full text available but theorem-to-P31 mapping not verified
P31-S22	Modular-group conjugacy and real-quadratic class-number connection		INCONCLUSIVE	Ambient modular near-neighbor	Gamma_0(11) restriction, inversion policy, or all-pairs replay	anchor:none; metadata and abstract scope only; subgroup refinement remains unresolved
P31-S23	producer-supplied proof checked by a simple consumer	ACM publisher abstract; DOI 10.1145/263699.263712	FINALIZED	proof-carrying code method pattern	does not prove the P31 owner theorem or certificate completeness	ACM/Crossref publication record verified on 2026-09-04
P31-S24	tamper-evident membership and consistency proof pattern	USENIX Security 2009 official paper page and paper Sections 2--4	FINALIZED	append-only ledger verification pattern	does not decide subgroup conjugacy or supply semantic owner labels	USENIX official metadata and open paper verified on 2026-09-04
