source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
P31-S01	Millington (1969)	T1 modular subgroup and finite-domain interfaces	VERIFIED	B	modular_subgroup_structure_only	Finite-index modular-subgroup classification context	Fixed-pair Gamma_0(11) decision, oriented owner bytes, or negative certificates	Foundational subgroup-model ingredient	anchor:none; metadata and abstract scope only; COI and retraction not checked
P31-S02	Kulkarni (1991)	T1 modular subgroup and finite-domain interfaces	VERIFIED	B	special_polygon_interface_only	Arithmetic-geometric special-polygon machinery	Complete positive and negative Gamma_0(11) conjugacy certificates	Candidate finite-domain ingredient	anchor:none; metadata and abstract scope only; no theorem-to-certificate locator frozen
P31-S03	Chan, Lang, Lim, and Tan (1993)	T1 modular subgroup and finite-domain interfaces	VERIFIED	B	special_polygon_interface_only	Special polygons and finite subgroup data	Primitive-owner policy or all-pairs certificate completeness	Candidate deterministic-domain fixture	anchor:none; metadata and abstract scope only; no exact theorem anchor frozen
P31-S04	Lang, Lim, and Tan (1995)	T1 modular subgroup and finite-domain interfaces	VERIFIED	C	congruence_recognition_only	Congruence-subgroup recognition algorithm context	Conjugacy decision inside a fixed congruence subgroup	Subgroup-presentation check only	anchor:none; metadata and abstract scope only; claim-fitness is limited to recognition
P31-S05	Hsu (1996)	T1 modular subgroup and finite-domain interfaces	VERIFIED	C	congruence_recognition_only	Finite permutation and presentation tests for congruence identification	Frozen conjugacy, orientation, or replay interface	Subgroup-model validation ingredient	anchor:none; publisher text available but not source-text verified; no claim locator frozen
P31-S06	Voight (2009)	T1 modular subgroup and finite-domain interfaces	VERIFIED	B	fundamental_domain_algorithm_only	Computable exact Fuchsian fundamental-domain context	Terminating complete pair-conjugacy certificate for frozen Gamma_0(11)	Modern finite-reduction candidate	anchor:none; publisher text available but theorem hypotheses and outputs not verified
P31-S07	Latimer and MacDuffee (1933)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	ambient_integral_conjugacy_only	Ideal-class and integral-matrix correspondence	Gamma_0(11), determinant-one, orientation, inversion, or serialization	Ambient arithmetic reduction ingredient	anchor:none; metadata-only verification; exact theorem hypotheses not frozen
P31-S08	Taussky (1949)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	ambient_integral_conjugacy_only	Refinement of the ambient matrix-ideal correspondence	Subgroup-constrained conjugacy completeness	Ambient correspondence refinement	anchor:none; publisher text available but not source-text verified
P31-S09	Wallace (1984)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	ambient_integral_conjugacy_only	Hyperbolic SL(n,Z) conjugacy and ideal-class structure	Gamma_0(11) refinement or canonical owner-byte rule	Ambient class-structure ingredient	anchor:none; publisher text available but exact project mapping not verified
P31-S10	Appelgate and Onishi (1981)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	ambient_sl2_conjugacy_only	Continued-fraction treatment of conjugacy in ambient SL_2(Z)	Gamma_0(11) restriction or replayable complete obstruction	Ambient exact-decision candidate	anchor:none; metadata and abstract scope only; no subgroup-specialization locator frozen
P31-S11	Grunewald (1980)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	arithmetic_group_algorithm_only	Arithmetic-group conjugacy framework	Concrete P31 witness and obstruction serialization	Algorithm-existence ingredient	anchor:none; scholarly chapter metadata and abstract scope; non-peer-reviewed in ratio audit
P31-S12	Grunewald and Segal (1980)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	arithmetic_group_algorithm_only	General algorithms for arithmetic groups	Frozen deterministic specialization, termination payload, or negative-certificate replay	Algorithm-existence ingredient	anchor:none; metadata and abstract scope only; specialization remains unbound
P31-S13	Eick, Hofmann, and O'Brien (2019)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	ambient_gln_conjugacy_only	Modern GL(n,Z) conjugacy algorithms	SL orientation, Gamma_0(11), inversion policy, or P31 serialization	Recent ambient-method anchor	anchor:none; metadata and abstract scope only; group-transfer hypotheses not verified
P31-S14	Sarnak (1982)	T3 reduction, orientation, centralizers, and census controls	VERIFIED	C	class_number_background_only	Indefinite-form and class-number structure	Specified-pair certificate or G/I/C estimand separation	Aggregate census background	anchor:none; metadata and abstract scope only; counts do not localize pair decisions
P31-S15	Series (1985)	T3 reduction, orientation, centralizers, and census controls	VERIFIED	B	modular_geodesic_reduction_only	Modular-geodesic continued-fraction coding	Gamma_0(11) conjugacy solver or project owner ledger	Canonical-reduction ingredient	anchor:none; metadata and abstract scope only; subgroup owner mapping not verified
P31-S16	Epstein and Holt (2006)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	hyperbolic_group_conjugacy_only	Linear conjugacy algorithm surface for word-hyperbolic groups	Primitive-root owner policy or P31 certificate bytes	General completeness-route candidate	anchor:none; pages corrected to 287-305 under R10PH2-C04; metadata and abstract scope only
P31-S17	Buckley and Holt (2013)	T2 ambient conjugacy and arithmetic decision ingredients	VERIFIED	B	hyperbolic_group_list_conjugacy_only	Finite-list conjugacy algorithms in hyperbolic groups	Frozen presentation, oriented encoding, or certificate translation	Batch-decision candidate	anchor:none; metadata and abstract scope only; project translation unproved
P31-S18	Baake and Roberts (2001)	T3 reduction, orientation, centralizers, and census controls	VERIFIED	B	inversion_centralizer_background_only	Centralizers and reversing-symmetry distinction	P31 oriented-versus-inverse owner equivalence	Orientation and inversion stress reference	anchor:none; metadata and abstract scope only; project convention remains definitional
