source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P31-S01	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	modular_subgroup_structure_only	https://doi.org/10.1112/jlms/s2-1.1.351	Exact DOI metadata supports finite-index modular-subgroup classification; it cannot decide a fixed Gamma_0(11) pair, define oriented owners, or certify negative pairs.
P31-S02	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	special_polygon_interface_only	https://doi.org/10.2307/2374900	Exact DOI metadata supports arithmetic-geometric special-polygon machinery; it cannot alone yield complete positive and negative Gamma_0(11) conjugacy certificates.
P31-S03	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	special_polygon_interface_only	https://doi.org/10.1142/S0129167X93000030	Exact DOI and publisher metadata support special polygons and finite subgroup data; they do not establish primitive-owner policy or all-pairs certificate completeness.
P31-S04	VERIFIED	EXACT	VI	C	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	congruence_recognition_only	https://doi.org/10.1112/jlms/51.3.491	Exact DOI metadata supports congruence recognition; it does not decide conjugacy inside a fixed congruence subgroup.
P31-S05	VERIFIED	EXACT	VI	C	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	congruence_recognition_only	https://doi.org/10.1090/S0002-9939-96-03496-X	Exact AMS DOI metadata supports identification of congruence subgroups; it cannot replace the frozen conjugacy, orientation, or replay interface.
P31-S06	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	fundamental_domain_algorithm_only	https://doi.org/10.5802/jtnb.683	Exact DOI and journal metadata support computable Fuchsian fundamental domains; they do not prove a terminating complete pair-conjugacy certificate for the frozen subgroup.
P31-S07	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	ambient_integral_conjugacy_only	https://doi.org/10.2307/1968204	Exact DOI metadata supports the ideal-class and integral-matrix correspondence; Gamma_0(11), determinant-one, orientation, inversion, and serialization are outside its support.
P31-S08	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	ambient_integral_conjugacy_only	https://doi.org/10.4153/CJM-1949-026-1	Exact DOI metadata supports the Latimer-MacDuffee refinement; it cannot close subgroup-constrained conjugacy or certificate completeness.
P31-S09	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	ambient_integral_conjugacy_only	https://doi.org/10.1090/S0002-9947-1984-0735415-0	Exact AMS DOI metadata supports hyperbolic SL(n,Z) conjugacy versus ideal classes; it does not supply the Gamma_0(11) refinement or owner-byte rule.
P31-S10	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	ambient_sl2_conjugacy_only	https://doi.org/10.1080/00927878108822637	Exact DOI metadata supports continued-fraction treatment of conjugacy in ambient SL_2(Z); a subgroup constraint and complete replayable obstruction remain separate.
