query_id	exact_frozen_query	retrieved_at_utc	interface	http_status	candidate_doi	candidate_title	candidate_year	decision	matched_source_id	decision_reason
Q01	"""Gamma_0(11) subgroup modular group conjugacy hyperbolic elements"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.2422/2036-2145.201608_002	Hyperbolic 3-Manifolds Groups are Subgroup Conjugacy Separable	2019	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q02	"""finite index subgroup PSL2Z conjugacy algorithm"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.47191/ijmcr/v11i12.08	ON STRONGLY BASE-TWO FINITE GROUPS WITH TRIVIAL FRATTINI SUBGROUP: CONJUGACY CLASSES AND CORE-FREE SUBGROUP	2023	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q03	"""subgroups of the classical modular group Millington DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1112/jlms/s2-1.1.351	Subgroups of the Classical Modular Group	1969	RETAIN_EXISTING_INVENTORY_RECORD	P31-S01	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q04	"""arithmetic geometric method subgroups modular group Kulkarni DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.2307/2374900	An Arithmetic-Geometric Method in the Study of the Subgroups of the Modular Group	1991	RETAIN_EXISTING_INVENTORY_RECORD	P31-S02	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q05	"""special polygons subgroups modular group applications DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1142/s0129167x93000030	SPECIAL POLYGONS FOR SUBGROUPS OF THE MODULAR GROUP AND APPLICATIONS	1993	RETAIN_EXISTING_INVENTORY_RECORD	P31-S03	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q06	"""algorithm determining subgroup modular group congruence Lang Lim Tan"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1112/jlms/51.3.491	An Algorithm for Determining if a Subgroup of the Modular Group is Congruence	1995	RETAIN_EXISTING_INVENTORY_RECORD	P31-S04	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q07	"""identifying congruence subgroups modular group Hsu DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1090/s0002-9939-96-03496-x	Identifying congruence subgroups of the modular group	1996	RETAIN_EXISTING_INVENTORY_RECORD	P31-S05	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q08	"""computing fundamental domains for Fuchsian groups Voight DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.5802/jtnb.683	Computing fundamental domains  for Fuchsian groups	2009	RETAIN_EXISTING_INVENTORY_RECORD	P31-S06	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q09	"""continued fractions conjugacy problem SL_2(Z) Appelgate Onishi"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1080/00927878108822637	Continued fractions and the conjugacy problem in SL<sub>2</sub>; (Z)	1981	RETAIN_EXISTING_INVENTORY_RECORD	P31-S10	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q10	"""conjugacy classes hyperbolic matrices SL(n,Z) ideal classes order"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.2307/1999996	Conjugacy Classes of Hyperbolic Matrices in Sl(n, Z) and Ideal Classes in an Order	1984	RETAIN_EXISTING_INVENTORY_RECORD	P31-S09	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q11	"""solution conjugacy problem certain arithmetic groups Grunewald"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/s0049-237x(08)71335-1	Solution of the Conjugacy Problem in Certain Arithmetic Groups	1980	RETAIN_EXISTING_INVENTORY_RECORD	P31-S11	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q12	"""conjugacy problem GL(n,Z) Eick Hofmann O'Brien"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1112/jlms.12246	The conjugacy problem in  GL (n,Z)	2019	RETAIN_EXISTING_INVENTORY_RECORD	P31-S13	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q13	"""class numbers indefinite binary quadratic forms Sarnak DOI"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/0022-314x(82)90028-2	Class numbers of indefinite binary quadratic forms	1982	RETAIN_EXISTING_INVENTORY_RECORD	P31-S14	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q14	"""explicit formula number classes primitive hyperbolic elements Gamma_0(N) Golovchanskii Smotrov"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1070/sm2008v199n07abeh003951	"An explicit formula for the number of classes of primitive hyperbolic elements in the group Γ
                    <sub>0</sub>
                    (
                    <i>N</i>
                    )"	2008	RETAIN_EXISTING_INVENTORY_RECORD	P31-S21	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q15	"""conjugacy problem modular group class number real quadratic number fields Traina"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/0022-314x(85)90049-6	The conjugacy problem of the modular group and the class number of real quadratic number fields	1985	RETAIN_EXISTING_INVENTORY_RECORD	P31-S22	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
