GIT OBJECT AUDIT — FIXED 82293 MERGE / 8190 RESEARCH CHECKPOINT
Actual read-only mechanical object audit; not a mathematics review.
UTC record: 2026-09-05 08:49:23 UTC (supplemental read followed).
Fixed merge: 82293de4105ccc0139acc288a26278261b3426a2
Fixed research: 8190c0499bd5edc19e97c7a8d2331076a8df5cb0
Repository: /root/autodl-tmp/hilbert-polya-structure
Workspace: /root/autodl-tmp/symbolic_dynamics
Method: git ls-tree -r -z of fixed commits; git cat-file --batch raw blob bytes compared directly with Path.read_bytes workspace bytes. No mirror file-copy comparison.
Initial preflight HEAD/origin/main=82293 and git status empty. Main fixed-object run HEAD/origin/main had advanced to 9a394ee2 through root's separate checkpoint; its start/end status were empty. Later supplemental status has only root-owned symbolic_dynamics/README.md modification, reported by root; no Git writes performed by this audit.
Primary process exit=0; compared_unique_files=842; compared_bytes=39285756
All scope inventories equal; missing=0; extra=0; mismatched_bytes=0; symlinks=0; scoped_research_to_merge_object_deltas=0
Package-local nonself manifests=36; actual rows checked against raw blobs AND workspace=1081; errors=0
These are byte/hash checks, not reruns of verifier assertions, PDF builds, proof reviews or independent scientific certification.

GROUP SUMMARY
group	physical_files	merge_files	research_files	bytes	workspace_path
paper197	82	82	82	5786542	papers/197-ternary-cyclic-sign-difference
paper199	141	141	141	6805232	papers/199-first-one-stirling-splice
paper200	117	117	117	6624922	papers/200-lex-first-alternating-switch
paper202	185	185	185	7147136	papers/202-ternary-ordered-reset
review197a	23	23	23	1287465	docs/papers197_201_sequence/reviews/p197_a
review197b	32	32	32	1728052	docs/papers197_201_sequence/reviews/p197_b
review199a	25	25	25	1115586	docs/papers197_201_sequence/reviews/p199_a
review199b	28	28	28	1476693	docs/papers197_201_sequence/reviews/p199_b
review200a	28	28	28	1751722	docs/papers197_201_sequence/reviews/p200_a
review200b	28	28	28	1767587	docs/papers197_201_sequence/reviews/p200_b
review202a	44	44	44	1487571	docs/papers197_201_sequence/reviews/p202_a
review202b	41	41	41	1671806	docs/papers197_201_sequence/reviews/p202_b
mct_scout	10	10	10	45712	docs/papers197_201_sequence/scouting/monochromatic_triangle_20260905
mct_temporal	11	11	11	28741	docs/papers197_201_sequence/reviews/mct_temporal_pressure_20260905
mct_stage1	13	13	13	63331	docs/papers197_201_sequence/reviews/mct_stage1_20260905
mct_supplement	13	13	13	15897	docs/papers197_201_sequence/reviews/mct_temporal_pin_supplement_20260905
breadth_snapshots	15	15	15	246230	docs/papers197_201_sequence/breadth_snapshots
breadth_index	1	1	1	28690	docs/papers197_201_sequence/STAGE1_BREADTH_INDEX.tsv
breadth_reconciliation	1	1	1	18446	docs/papers197_201_sequence/BREADTH_RECONCILIATION.md
lfctr_correction	1	1	1	2692	docs/papers197_201_sequence/LFCTR_HISTORY_COUNT_CORRECTION.md
mct_adjudication	1	1	1	6723	docs/papers197_201_sequence/MCT_ROOT_ADJUDICATION.md
historical_artifact_snapshot	1	1	1	135092	docs/research_state/ARTIFACT_SNAPSHOT_2026-09-05.json
historical_paper_index	1	1	1	43888	docs/research_state/PAPER_ARTIFACT_INDEX.tsv

PER-FILE EXACT BYTE RESULTS
group	git_blob_oid	git_mode	bytes	git_sha256	workspace_sha256	result	path
paper197	eb99b70669c68109e46ab122425ffa00a4f03f0a	100644	876	7fb5d75290ab9713661712d5887f60ad4df40872b453c5e8ca747f73fa6c3454	7fb5d75290ab9713661712d5887f60ad4df40872b453c5e8ca747f73fa6c3454	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/BUILD.md
paper197	59c2f3c370116719d0383168d11427974bfa81d2	100644	1227	d654eb27f1f245aed0c5f192951100ca33a8f548eb39868422d444f6e77dac43	d654eb27f1f245aed0c5f192951100ca33a8f548eb39868422d444f6e77dac43	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/CLAIMS_EVIDENCE.md
paper197	79b5f28ad4c7e77c277147ce49150c1beb2d1834	100644	311	92334308f114529e761f532738888f948abbbe981956422a35c7c13cea0916ae	92334308f114529e761f532738888f948abbbe981956422a35c7c13cea0916ae	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/FIGURE_PLAN.md
paper197	c09e46a2fed6877f4ec85f5526dae7c96004dd9d	100644	3299	4daf8324ebacb01bafef5af6d1337489d31bdddbffb0c7e50ec249e30ee22b23	4daf8324ebacb01bafef5af6d1337489d31bdddbffb0c7e50ec249e30ee22b23	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/FINAL_QA.md
paper197	c5f975bc1ed647f4e4832270dcf0b552de492907	100644	1777	fefa718b4ff12649480a8a27ea0c7d31eb499f3bcb76950796cd4b4c6c7720d2	fefa718b4ff12649480a8a27ea0c7d31eb499f3bcb76950796cd4b4c6c7720d2	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/IMPROVEMENT_LOG.md
paper197	a190e2843a0893b405d16486fe8ddee9c1bdf576	100644	1013	c8e0fd63d2c8d2335c5c5eeb5a6e2ce27a7ff04fdedf969c3f40a600342356e5	c8e0fd63d2c8d2335c5c5eeb5a6e2ce27a7ff04fdedf969c3f40a600342356e5	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/NARRATIVE_REPORT.md
paper197	c873d7509bb8991637d8f8c19d546cb36e14ea4d	100644	1086	0bf1278b9f96ec3b4d5acbe7feebf7a5d66082638352447174fb2282dfe97c14	0bf1278b9f96ec3b4d5acbe7feebf7a5d66082638352447174fb2282dfe97c14	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/PAPER_IMPROVEMENT_STATE.md
paper197	9738238a4e873d4852f1d8b036395ac6c4910819	100644	1262	37ec1b449ed5692c57472672358bad869a3b05bf04e9bcf708d7f3e25e0b00a7	37ec1b449ed5692c57472672358bad869a3b05bf04e9bcf708d7f3e25e0b00a7	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/PAPER_PLAN.md
paper197	4e3c866139b084529f09ffd544f1a79d4be2f45a	100644	1574	cbebbcdc05dc62a89f32adaaff5e60870953cc7dda7ded64f98325748d1c6731	cbebbcdc05dc62a89f32adaaff5e60870953cc7dda7ded64f98325748d1c6731	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/PROOF_PACKAGE.md
paper197	e76a12bdc2c3664180829ab02bf77c419c500774	100644	1486	b3291887afb451e24c37295975454fcb5c6bb1838a747fc3b7e290b2efd1b335	b3291887afb451e24c37295975454fcb5c6bb1838a747fc3b7e290b2efd1b335	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/README.md
