source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
P29-S01	Balkanova and Frolenkov (2020)	Picard object and primitive geodesics	VERIFIED	A	DIRECT_PREREQUISITE	Exact Picard quotient identity and primitive-geodesic terminology	No ideal-owner map, owner quotient, or S_H result	object_anchor	anchor:none; publisher abstract and metadata scope; COI unknown and retraction not checked
P29-S02	Kaneko (2022)	Picard object and Gaussian arithmetic	VERIFIED	A	DIRECT_PREREQUISITE	Exact PSL_2(Z[i]) geodesic object and Gaussian arithmetic setting	No formal owner admissibility, split-ideal selection, or finite refinement	object_arithmetic_anchor	anchor:none; publisher metadata and abstract scope; COI unknown and retraction not checked
P29-S03	Balog et al. (2022)	Gaussian arithmetic in Picard geodesics	VERIFIED	B	BACKGROUND_ONLY	Relevance of Gaussian arithmetic and ideals to Picard prime-geodesic analysis	No unique primitive-class-to-prime-ideal assignment	gaussian_context_only	anchor:none; repository full-text scope inspected but no exact frozen theorem locator; COI unknown and retraction not checked
P29-S04	Koyama (2001)	Historical Picard geodesic context	VERIFIED	B	BACKGROUND_ONLY	Historical Picard-manifold prime-geodesic context	No unconditional owner algorithm or Paper-29 certificate	historical_context	anchor:none; conditional analytic results remain outside the estimand; COI unknown and retraction not checked
P29-S05	Nakasuji (2001)	Bianchi hyperbolic-three geodesics	VERIFIED	B	BACKGROUND_ONLY	Hyperbolic-three-manifold and Bianchi prime-geodesic context	No computable conjugacy, primitive-root, or owner certificate	transfer_boundary	anchor:none; generic Bianchi context only; COI unknown and retraction not checked
P29-S06	Avdispahic (2018)	Corrected hyperbolic-three geodesic context	VERIFIED	C	BACKGROUND_ONLY	Broad hyperbolic-three and Bianchi context only when bound to P29-S07	No corrected exponent claim from S06 alone and no owner-map claim	correction_bound_context	anchor:none; EXACT_CORRECTION_BOUND and mandatory P29-S07 companion; COI unknown and retraction not checked
P29-S07	Avdispahic (2019)	Correction companion	VERIFIED	B	BACKGROUND_ONLY	Correction relationship and corrected analytic boundary for P29-S06	No owner selection, quotient certification, or S_H	correction_companion	anchor:none; correction record is not retraction clearance; COI unknown and retraction not checked
P29-S08	Dever and Milicevic (2023)	Primitive conjugacy and inversion	VERIFIED	B	DIRECT_PREREQUISITE	Primitive conjugacy-class and inversion or unoriented concepts in hyperbolic three-manifolds	No automatic transfer from compact lattices to a complete Picard decision procedure	owner_semantics_with_transfer_gap	anchor:none; compact-lattice applicability limit; COI unknown and retraction not checked
P29-S09	Qi (2024)	Current Picard preprint context	VERIFIED	C	BACKGROUND_ONLY	Current first-party preprint context for the exact Picard quotient and Gaussian conventions	No peer-reviewed support, owner admissibility, or quotient completeness	preprint_context_only	anchor:none; non-peer-reviewed preprint and title repaired post-verification; COI unknown and retraction not checked
P29-S10	Page (2015)	Arithmetic Kleinian computation	VERIFIED	B	ADJACENT_METHOD	Explicit arithmetic-Kleinian fundamental-domain and presentation algorithms	No complete conjugacy, maximal-root, or unoriented-owner algorithm	quotient_component_only	anchor:none; component method requires exact level-(3) reduction and certificate contract; COI unknown and retraction not checked
P29-S11	Grunewald and Segal (1980)	Arithmetic-group decision procedures	VERIFIED	B	ADJACENT_METHOD	General effective decision-procedure framework for arithmetic groups	No concrete terminating Paper-29 quotient or serialized certificate	general_decision_component	anchor:none; source-display title conflict Some versus Strong retained; COI unknown and retraction not checked
P29-S12	Preaux (2006)	Three-manifold conjugacy algorithm	VERIFIED	B	ADJACENT_METHOD	Algorithmic conjugacy in oriented geometrizable three-manifold groups	No unproved reduction to level-(3) Bianchi matrix conjugacy or owner IDs	adjacent_conjugacy_component	anchor:none; related-group applicability only; COI unknown and retraction not checked
P29-S13	Epstein and Holt (2006)	Word-hyperbolic conjugacy complexity	VERIFIED	C	ADJACENT_METHOD	Complexity-aware conjugacy algorithms under word-hyperbolic hypotheses	No assumption that the nonuniform Picard lattice meets every hypothesis	hypothesis_limited_conjugacy_component	anchor:none; official 287-305 pages retained against secondary conflict; COI unknown and retraction not checked
P29-S14	Eick et al. (2019)	Integral-matrix conjugacy	VERIFIED	C	ADJACENT_METHOD	Constructive GL(n,Z) conjugacy and conjugator-witness concepts	No equality between GL(n,Z) conjugacy and level-(3) PSL_2(Z[i]) conjugacy	relation_mismatch_component	anchor:none; equivalence-relation mismatch requires a proved comparison map; COI unknown and retraction not checked
P29-S15	Grunewald (1980)	Arithmetic-group conjugacy methodology	VERIFIED	C	ADJACENT_METHOD	Primary arithmetic-group conjugacy methodology	No peer-reviewed-journal weight, exact Picard applicability, or primitive-root closure	nonpeer_conjugacy_component	anchor:none; research book chapter and exact applicability unresolved; COI unknown and retraction not checked
P29-S16	Swan (1971)	Bianchi-group presentation interface	VERIFIED	B	DIRECT_PREREQUISITE	Presentations for relevant special-linear or Bianchi cases and a word-matrix interface basis	No conjugacy, primitivity, inversion invariance, or ideal-owner selection alone	presentation_input_component	anchor:none; presentation is an input layer rather than a quotient algorithm; COI unknown and retraction not checked
P29-S17	Maclachlan and Reid (2003)	Arithmetic Kleinian background	VERIFIED	A	BACKGROUND_ONLY	Arithmetic-Kleinian, trace-field, and hyperbolic-three background	No registered direct owner formula or executable quotient certificate	arithmetic_background	anchor:none; monograph not counted as peer reviewed and no exact frozen theorem locator; COI unknown and retraction not checked
P29-S18	Elstrodt et al. (1998)	Bianchi and imaginary-quadratic background	VERIFIED	A	BACKGROUND_ONLY	Bianchi or Picard action and imaginary-quadratic arithmetic definitions	No proof that a Gaussian ideal owner refines finite collisions	object_and_control_type_background	anchor:none; monograph not counted as peer reviewed and no exact frozen theorem locator; COI unknown and retraction not checked
P29-S19	Cohen (1993)	Gaussian ideal algorithms	VERIFIED	A	DIRECT_PREREQUISITE	Exact number-field ideal factorization and splitting procedures	No selection of which class invariant owns one literal split ideal	ideal_layer_component	anchor:none; monograph not counted as peer reviewed and no exact frozen algorithm locator; COI unknown and retraction not checked
P29-S20	Lenstra (1992)	Algebraic-number-theory certificate context	VERIFIED	B	ADJACENT_METHOD	Effective number-field problem and certificate context	No candidate-map invariance, split-branch choice, or owner performance	certificate_design_component	anchor:none; expository algorithm context rather than direct owner construction; COI unknown and retraction not checked
P29-S21	Belabas (2004)	Practical ideal arithmetic	VERIFIED	A	DIRECT_PREREQUISITE	Practical number-field and ideal-arithmetic algorithm interfaces	No source-defined primitive-conjugacy-class owner mechanism	implementation_context_component	anchor:none; implementation context is not a project experiment; COI unknown and retraction not checked
P29-S22	Belabas and Simon (2024)	Ideal maximal-power detection	VERIFIED	A	DIRECT_PREREQUISITE	Maximal-power detection and a witness ideal for an integral ideal	No loxodromic group-element root detection, conjugacy closure, or owner selection	ideal_power_layer_only	anchor:none; ideal power and group primitivity remain separate layers; COI unknown and retraction not checked
