source_id	authors	year	title	venue	doi	stable_url	document_type	peer_reviewed	theme	metadata_basis	full_text_status
P29-S01	Balkanova, Olga; Frolenkov, Dmitry	2020	Prime geodesic theorem for the Picard manifold	Advances in Mathematics 375, 107377	10.1016/j.aim.2020.107377	https://doi.org/10.1016/j.aim.2020.107377	journal_article	yes	picard_primitive_geodesics	publisher_landing_page+Crossref_DOI	publisher_abstract_and_metadata_inspected
P29-S02	Kaneko, Ikuya	2022	The prime geodesic theorem for PSL_2(Z[i]) and spectral exponential sums	Algebra & Number Theory 16(8), 1845-1887	10.2140/ant.2022.16.1845	https://doi.org/10.2140/ant.2022.16.1845	journal_article	yes	picard_primitive_geodesics	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S03	Balog, Antal; Biró, András; Cherubini, Giacomo; Laaksonen, Niko	2022	Bykovskii-type theorem for the Picard manifold	International Mathematics Research Notices 2022(3), 1893-1921	10.1093/imrn/rnaa128	https://doi.org/10.1093/imrn/rnaa128	journal_article	yes	gaussian_arithmetic_geodesics	publisher_DOI+institutional_repository	repository_full_text_available_scope_inspected
P29-S04	Koyama, Shin-ya	2001	Prime geodesic theorem for the Picard manifold under the mean-Lindelöf hypothesis	Forum Mathematicum 13(6), 781-793	10.1515/form.2001.034	https://doi.org/10.1515/form.2001.034	journal_article	yes	picard_primitive_geodesics	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S05	Nakasuji, Maki	2001	Prime geodesic theorem via the explicit formula of Psi for hyperbolic 3-manifolds	Proceedings of the Japan Academy Series A 77(7), 130-133	10.3792/pjaa.77.130	https://doi.org/10.3792/pjaa.77.130	journal_article	yes	bianchi_hyperbolic3_geodesics	Project_Euclid+Crossref_DOI	primary_full_text_scope_inspected
P29-S06	Avdispahić, Muharem	2018	On the prime geodesic theorem for hyperbolic 3-manifolds	Mathematische Nachrichten 291(14-15), 2160-2167	10.1002/mana.201700190	https://doi.org/10.1002/mana.201700190	journal_article	yes	hyperbolic3_geodesics_corrected	publisher_landing_page+Crossref_DOI	publisher_abstract_and_metadata_inspected_erratum_required
P29-S07	Avdispahić, Muharem	2019	Errata and addendum to On the prime geodesic theorem for hyperbolic 3-manifolds	Mathematische Nachrichten 292(4), 691-693	10.1002/mana.201800467	https://doi.org/10.1002/mana.201800467	journal_correction	yes	hyperbolic3_geodesics_correction	publisher_landing_page+Crossref_DOI	publisher_full_text_scope_inspected
P29-S08	Dever, Lindsay; Milićević, Djordje	2023	Ambient prime geodesic theorems on hyperbolic 3-manifolds	International Mathematics Research Notices 2023(1), 588-635	10.1093/imrn/rnab048	https://doi.org/10.1093/imrn/rnab048	journal_article	yes	primitive_conjugacy_inversion	publisher_full_text+Crossref_DOI	publisher_full_text_scope_inspected
P29-S09	Qi, Zhi	2024	On the symmetric square large sieve for PSL_2(Z[i]) ∖ PSL_2(C) and prime geodesic theorem for PSL_2(Z[i]) ∖ H^3	arXiv:2407.17959		https://arxiv.org/abs/2407.17959	preprint	no	current_picard_geodesics	arXiv_primary_record	primary_full_text_scope_inspected_not_peer_reviewed
P29-S10	Page, Aurel	2015	Computing arithmetic Kleinian groups	Mathematics of Computation 84(295), 2361-2390	10.1090/S0025-5718-2015-02939-1	https://doi.org/10.1090/S0025-5718-2015-02939-1	journal_article	yes	kleinian_algorithms	AMS_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S11	Grunewald, Fritz; Segal, Daniel	1980	Some general algorithms. I: Arithmetic groups	Annals of Mathematics 112(3), 531-583	10.2307/1971091	https://doi.org/10.2307/1971091	journal_article	yes	arithmetic_group_algorithms	journal_landing_page+Crossref_DOI	publisher_metadata_inspected
P29-S12	Préaux, Jean-Philippe	2006	Conjugacy problem in groups of oriented geometrizable 3-manifolds	Topology 45(1), 171-208	10.1016/j.top.2005.06.002	https://doi.org/10.1016/j.top.2005.06.002	journal_article	yes	conjugacy_decision_procedure	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S13	Epstein, David B. A.; Holt, Derek F.	2006	The linearity of the conjugacy problem in word-hyperbolic groups	International Journal of Algebra and Computation 16(2), 287-305	10.1142/S0218196706002986	https://doi.org/10.1142/S0218196706002986	journal_article	yes	conjugacy_algorithm_complexity	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S14	Eick, Bettina; Hofmann, Tommy; O'Brien, E. A.	2019	The conjugacy problem in GL(n,Z)	Journal of the London Mathematical Society 100(3), 731-756	10.1112/jlms.12246	https://doi.org/10.1112/jlms.12246	journal_article	yes	integral_matrix_conjugacy	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S15	Grunewald, Fritz J.	1980	Solution of the conjugacy problem in certain arithmetic groups	Word Problems II, Studies in Logic and the Foundations of Mathematics 95, 101-139	10.1016/S0049-237X(08)71335-1	https://doi.org/10.1016/S0049-237X(08)71335-1	research_book_chapter	no	arithmetic_group_conjugacy	publisher_landing_page+Crossref_DOI	publisher_metadata_inspected_not_peer_review_counted
P29-S16	Swan, Richard G.	1971	Generators and relations for certain special linear groups	Advances in Mathematics 6(1), 1-77	10.1016/0001-8708(71)90027-2	https://doi.org/10.1016/0001-8708(71)90027-2	journal_article	yes	bianchi_group_presentations	publisher_landing_page+Crossref_DOI	publisher_metadata_and_abstract_inspected
P29-S17	Maclachlan, Colin; Reid, Alan W.	2003	The arithmetic of hyperbolic 3-manifolds	Graduate Texts in Mathematics 219, Springer	10.1007/978-1-4757-6720-9	https://doi.org/10.1007/978-1-4757-6720-9	monograph	no	arithmetic_kleinian_background	publisher_book_record+Crossref_DOI	publisher_metadata_and_contents_preview_inspected
P29-S18	Elstrodt, Jürgen; Grunewald, Fritz; Mennicke, Jens	1998	Groups acting on hyperbolic space: Harmonic analysis and number theory	Springer Monographs in Mathematics	10.1007/978-3-662-03626-6	https://doi.org/10.1007/978-3-662-03626-6	monograph	no	bianchi_picard_arithmetic	publisher_book_record+Crossref_DOI	publisher_metadata_and_contents_preview_inspected
