row_id	query_id	family	rank	observed_at	retrieval_status	title	url	canonical_work_key	matched_source_id	dedupe_status	duplicate_of	screen_decision	screen_reason	historical_row_substitution
P29-Q-G01-R01	P29-Q-G01	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Amenability, critical exponents of subgroups and growth of closed geodesics | Mathematische Annalen | Springer Nature Link	https://link.springer.com/article/10.1007/s00208-015-1338-1	title:amenability critical exponents of subgroups and growth of closed geodesics mathematische annalen springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G01-R02	P29-Q-G01	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Non-vanishing of Geodesic Periods of Automorphic Forms | Geometric and Functional Analysis | Springer Nature Link	https://link.springer.com/article/10.1007/s00039-025-00715-z	title:non vanishing of geodesic periods of automorphic forms geometric and functional analysis springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G01-R03	P29-Q-G01	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	[Vol. 77(	https://projecteuclid.org/journalArticle/Download?isResultClick=False&urlId=10.3792%2Fpjaa.77.130	corpus:P29-S05	P29-S05	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S05; no corpus or scientific-status change.	false
P29-Q-G02-R01	P29-Q-G02	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	(PDF) On the prime geodesic theorem for hyperbolic 3-manifolds	https://www.researchgate.net/publication/316985369_On_the_prime_geodesic_theorem_for_hyperbolic_3-manifolds	corpus:P29-S06	P29-S06	DUPLICATE	P29-Q-G06-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G06-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G02-R02	P29-Q-G02	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem for the Picard manifold	https://arxiv.org/abs/1804.00275	corpus:P29-S01	P29-S01	DUPLICATE	P29-Q-G03-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G03-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G02-R03	P29-Q-G02	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	The Prime Geodesic Theorem for $\mathrm{PSL}_{2}(\mathbb{Z}[i])$ and Spectral Exponential Sums	https://arxiv.org/abs/1903.05111	corpus:P29-S02	P29-S02	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S02; no corpus or scientific-status change.	false
P29-Q-G03-R01	P29-Q-G03	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem for the Picard manifold - ScienceDirect	https://www.sciencedirect.com/science/article/pii/S0001870820304059	corpus:P29-S01	P29-S01	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S01; no corpus or scientific-status change.	false
P29-Q-G03-R02	P29-Q-G03	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem for the Picard manifold - ScienceDirect	https://www.sciencedirect.com/science/article/abs/pii/S0001870820304059	corpus:P29-S01	P29-S01	DUPLICATE	P29-Q-G03-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G03-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G03-R03	P29-Q-G03	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem for the Picard manifold	https://arxiv.org/abs/1804.00275	corpus:P29-S01	P29-S01	DUPLICATE	P29-Q-G03-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G03-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G04-R01	P29-Q-G04	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	[Vol. 77(	https://projecteuclid.org/journalArticle/Download?isResultClick=False&urlId=10.3792%2Fpjaa.77.130	corpus:P29-S05	P29-S05	DUPLICATE	P29-Q-G01-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G01-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
