r,origin_b,origin_k,token,target_b,target_k,height_before,height_after,height_increment,expected_increment,strict_increase,target_inside_window
3,2,3,U+,29,3,29,56,27,27,True,False
3,2,3,V+,2,4,29,83,54,54,True,True
3,2,4,U+,83,4,83,164,81,81,True,False
3,2,4,V+,2,5,83,245,162,162,True,False
3,3,0,U+,4,0,4,5,1,1,True,True
3,3,0,V+,3,1,4,6,2,2,True,True
3,3,1,U+,6,1,6,9,3,3,True,True
3,3,1,V+,3,2,6,12,6,6,True,True
3,3,2,U+,12,2,12,21,9,9,True,True
3,3,2,V+,3,3,12,30,18,18,True,True
3,3,3,U+,30,3,30,57,27,27,True,False
3,3,3,V+,3,4,30,84,54,54,True,True
3,3,4,U+,84,4,84,165,81,81,True,False
3,3,4,V+,3,5,84,246,162,162,True,False
3,4,0,U+,5,0,5,6,1,1,True,True
3,4,0,V+,4,1,5,7,2,2,True,True
3,4,1,U+,7,1,7,10,3,3,True,True
3,4,1,V+,4,2,7,13,6,6,True,True
3,4,2,U+,13,2,13,22,9,9,True,False
3,4,2,V+,4,3,13,31,18,18,True,True
3,4,3,U+,31,3,31,58,27,27,True,False
3,4,3,V+,4,4,31,85,54,54,True,True
3,4,4,U+,85,4,85,166,81,81,True,False
3,4,4,V+,4,5,85,247,162,162,True,False
3,5,0,U+,6,0,6,7,1,1,True,True
3,5,0,V+,5,1,6,8,2,2,True,True
3,5,1,U+,8,1,8,11,3,3,True,True
3,5,1,V+,5,2,8,14,6,6,True,True
3,5,2,U+,14,2,14,23,9,9,True,False
3,5,2,V+,5,3,14,32,18,18,True,True
3,5,3,U+,32,3,32,59,27,27,True,False
3,5,3,V+,5,4,32,86,54,54,True,True
3,5,4,U+,86,4,86,167,81,81,True,False
3,5,4,V+,5,5,86,248,162,162,True,False
3,6,0,U+,7,0,7,8,1,1,True,True
3,6,0,V+,6,1,7,9,2,2,True,True
3,6,1,U+,9,1,9,12,3,3,True,True
3,6,1,V+,6,2,9,15,6,6,True,True
3,6,2,U+,15,2,15,24,9,9,True,False
3,6,2,V+,6,3,15,33,18,18,True,True
3,6,3,U+,33,3,33,60,27,27,True,False
3,6,3,V+,6,4,33,87,54,54,True,True
3,6,4,U+,87,4,87,168,81,81,True,False
3,6,4,V+,6,5,87,249,162,162,True,False
3,7,0,U+,8,0,8,9,1,1,True,True
3,7,0,V+,7,1,8,10,2,2,True,True
3,7,1,U+,10,1,10,13,3,3,True,True
3,7,1,V+,7,2,10,16,6,6,True,True
3,7,2,U+,16,2,16,25,9,9,True,False
3,7,2,V+,7,3,16,34,18,18,True,True
3,7,3,U+,34,3,34,61,27,27,True,False
3,7,3,V+,7,4,34,88,54,54,True,True
3,7,4,U+,88,4,88,169,81,81,True,False
3,7,4,V+,7,5,88,250,162,162,True,False
3,8,0,U+,9,0,9,10,1,1,True,True
3,8,0,V+,8,1,9,11,2,2,True,True
3,8,1,U+,11,1,11,14,3,3,True,True
3,8,1,V+,8,2,11,17,6,6,True,True
3,8,2,U+,17,2,17,26,9,9,True,False
3,8,2,V+,8,3,17,35,18,18,True,True
3,8,3,U+,35,3,35,62,27,27,True,False
3,8,3,V+,8,4,35,89,54,54,True,True
3,8,4,U+,89,4,89,170,81,81,True,False
3,8,4,V+,8,5,89,251,162,162,True,False
3,9,0,U+,10,0,10,11,1,1,True,True
3,9,0,V+,9,1,10,12,2,2,True,True
3,9,1,U+,12,1,12,15,3,3,True,True
3,9,1,V+,9,2,12,18,6,6,True,True
3,9,2,U+,18,2,18,27,9,9,True,False
3,9,2,V+,9,3,18,36,18,18,True,True
3,9,3,U+,36,3,36,63,27,27,True,False
3,9,3,V+,9,4,36,90,54,54,True,True
3,9,4,U+,90,4,90,171,81,81,True,False
3,9,4,V+,9,5,90,252,162,162,True,False
3,10,0,U+,11,0,11,12,1,1,True,True
3,10,0,V+,10,1,11,13,2,2,True,True
3,10,1,U+,13,1,13,16,3,3,True,False
3,10,1,V+,10,2,13,19,6,6,True,True
3,10,2,U+,19,2,19,28,9,9,True,False
3,10,2,V+,10,3,19,37,18,18,True,True
3,10,3,U+,37,3,37,64,27,27,True,False
3,10,3,V+,10,4,37,91,54,54,True,True
3,10,4,U+,91,4,91,172,81,81,True,False
3,10,4,V+,10,5,91,253,162,162,True,False
3,11,0,U+,12,0,12,13,1,1,True,True
3,11,0,V+,11,1,12,14,2,2,True,True
3,11,1,U+,14,1,14,17,3,3,True,False
3,11,1,V+,11,2,14,20,6,6,True,True
3,11,2,U+,20,2,20,29,9,9,True,False
3,11,2,V+,11,3,20,38,18,18,True,True
3,11,3,U+,38,3,38,65,27,27,True,False
3,11,3,V+,11,4,38,92,54,54,True,True
3,11,4,U+,92,4,92,173,81,81,True,False
3,11,4,V+,11,5,92,254,162,162,True,False
3,12,0,U+,13,0,13,14,1,1,True,False
3,12,0,V+,12,1,13,15,2,2,True,True
3,12,1,U+,15,1,15,18,3,3,True,False
3,12,1,V+,12,2,15,21,6,6,True,True
3,12,2,U+,21,2,21,30,9,9,True,False
3,12,2,V+,12,3,21,39,18,18,True,True
3,12,3,U+,39,3,39,66,27,27,True,False
3,12,3,V+,12,4,39,93,54,54,True,True
3,12,4,U+,93,4,93,174,81,81,True,False
3,12,4,V+,12,5,93,255,162,162,True,False
5,0,0,U+,1,0,1,2,1,1,True,True
5,0,0,V+,0,1,1,5,4,4,True,True
5,0,1,U+,5,1,5,10,5,5,True,True
5,0,1,V+,0,2,5,25,20,20,True,True
5,0,2,U+,25,2,25,50,25,25,True,False
5,0,2,V+,0,3,25,125,100,100,True,True
5,0,3,U+,125,3,125,250,125,125,True,False
5,0,3,V+,0,4,125,625,500,500,True,True
5,0,4,U+,625,4,625,1250,625,625,True,False
5,0,4,V+,0,5,625,3125,2500,2500,True,False
5,1,0,U+,2,0,2,3,1,1,True,True
5,1,0,V+,1,1,2,6,4,4,True,True
5,1,1,U+,6,1,6,11,5,5,True,True
5,1,1,V+,1,2,6,26,20,20,True,True
5,1,2,U+,26,2,26,51,25,25,True,False
5,1,2,V+,1,3,26,126,100,100,True,True
5,1,3,U+,126,3,126,251,125,125,True,False
5,1,3,V+,1,4,126,626,500,500,True,True
5,1,4,U+,626,4,626,1251,625,625,True,False
5,1,4,V+,1,5,626,3126,2500,2500,True,False
5,2,0,U+,3,0,3,4,1,1,True,True
5,2,0,V+,2,1,3,7,4,4,True,True
5,2,1,U+,7,1,7,12,5,5,True,True
5,2,1,V+,2,2,7,27,20,20,True,True
5,2,2,U+,27,2,27,52,25,25,True,False
5,2,2,V+,2,3,27,127,100,100,True,True
5,2,3,U+,127,3,127,252,125,125,True,False
5,2,3,V+,2,4,127,627,500,500,True,True
5,2,4,U+,627,4,627,1252,625,625,True,False
5,2,4,V+,2,5,627,3127,2500,2500,True,False
5,3,0,U+,4,0,4,5,1,1,True,True
5,3,0,V+,3,1,4,8,4,4,True,True
5,3,1,U+,8,1,8,13,5,5,True,True
5,3,1,V+,3,2,8,28,20,20,True,True
5,3,2,U+,28,2,28,53,25,25,True,False
5,3,2,V+,3,3,28,128,100,100,True,True
5,3,3,U+,128,3,128,253,125,125,True,False
5,3,3,V+,3,4,128,628,500,500,True,True
5,3,4,U+,628,4,628,1253,625,625,True,False
5,3,4,V+,3,5,628,3128,2500,2500,True,False
5,4,0,U+,5,0,5,6,1,1,True,True
5,4,0,V+,4,1,5,9,4,4,True,True
5,4,1,U+,9,1,9,14,5,5,True,True
5,4,1,V+,4,2,9,29,20,20,True,True
5,4,2,U+,29,2,29,54,25,25,True,False
5,4,2,V+,4,3,29,129,100,100,True,True
5,4,3,U+,129,3,129,254,125,125,True,False
5,4,3,V+,4,4,129,629,500,500,True,True
5,4,4,U+,629,4,629,1254,625,625,True,False
5,4,4,V+,4,5,629,3129,2500,2500,True,False
5,5,0,U+,6,0,6,7,1,1,True,True
5,5,0,V+,5,1,6,10,4,4,True,True
5,5,1,U+,10,1,10,15,5,5,True,True
5,5,1,V+,5,2,10,30,20,20,True,True
5,5,2,U+,30,2,30,55,25,25,True,False
5,5,2,V+,5,3,30,130,100,100,True,True
5,5,3,U+,130,3,130,255,125,125,True,False
5,5,3,V+,5,4,130,630,500,500,True,True
5,5,4,U+,630,4,630,1255,625,625,True,False
5,5,4,V+,5,5,630,3130,2500,2500,True,False
5,6,0,U+,7,0,7,8,1,1,True,True
5,6,0,V+,6,1,7,11,4,4,True,True
5,6,1,U+,11,1,11,16,5,5,True,True
5,6,1,V+,6,2,11,31,20,20,True,True
5,6,2,U+,31,2,31,56,25,25,True,False
5,6,2,V+,6,3,31,131,100,100,True,True
5,6,3,U+,131,3,131,256,125,125,True,False
5,6,3,V+,6,4,131,631,500,500,True,True
5,6,4,U+,631,4,631,1256,625,625,True,False
5,6,4,V+,6,5,631,3131,2500,2500,True,False
5,7,0,U+,8,0,8,9,1,1,True,True
5,7,0,V+,7,1,8,12,4,4,True,True
5,7,1,U+,12,1,12,17,5,5,True,True
5,7,1,V+,7,2,12,32,20,20,True,True
5,7,2,U+,32,2,32,57,25,25,True,False
5,7,2,V+,7,3,32,132,100,100,True,True
5,7,3,U+,132,3,132,257,125,125,True,False
5,7,3,V+,7,4,132,632,500,500,True,True
5,7,4,U+,632,4,632,1257,625,625,True,False
5,7,4,V+,7,5,632,3132,2500,2500,True,False
5,8,0,U+,9,0,9,10,1,1,True,True
5,8,0,V+,8,1,9,13,4,4,True,True
5,8,1,U+,13,1,13,18,5,5,True,False
5,8,1,V+,8,2,13,33,20,20,True,True
5,8,2,U+,33,2,33,58,25,25,True,False
5,8,2,V+,8,3,33,133,100,100,True,True
5,8,3,U+,133,3,133,258,125,125,True,False
5,8,3,V+,8,4,133,633,500,500,True,True
5,8,4,U+,633,4,633,1258,625,625,True,False
5,8,4,V+,8,5,633,3133,2500,2500,True,False
5,9,0,U+,10,0,10,11,1,1,True,True
5,9,0,V+,9,1,10,14,4,4,True,True
5,9,1,U+,14,1,14,19,5,5,True,False
5,9,1,V+,9,2,14,34,20,20,True,True
5,9,2,U+,34,2,34,59,25,25,True,False
5,9,2,V+,9,3,34,134,100,100,True,True
5,9,3,U+,134,3,134,259,125,125,True,False
5,9,3,V+,9,4,134,634,500,500,True,True
5,9,4,U+,634,4,634,1259,625,625,True,False
5,9,4,V+,9,5,634,3134,2500,2500,True,False
5,10,0,U+,11,0,11,12,1,1,True,True
5,10,0,V+,10,1,11,15,4,4,True,True
5,10,1,U+,15,1,15,20,5,5,True,False
5,10,1,V+,10,2,15,35,20,20,True,True
5,10,2,U+,35,2,35,60,25,25,True,False
5,10,2,V+,10,3,35,135,100,100,True,True
5,10,3,U+,135,3,135,260,125,125,True,False
5,10,3,V+,10,4,135,635,500,500,True,True
5,10,4,U+,635,4,635,1260,625,625,True,False
5,10,4,V+,10,5,635,3135,2500,2500,True,False
5,11,0,U+,12,0,12,13,1,1,True,True
5,11,0,V+,11,1,12,16,4,4,True,True
5,11,1,U+,16,1,16,21,5,5,True,False
5,11,1,V+,11,2,16,36,20,20,True,True
5,11,2,U+,36,2,36,61,25,25,True,False
5,11,2,V+,11,3,36,136,100,100,True,True
5,11,3,U+,136,3,136,261,125,125,True,False
5,11,3,V+,11,4,136,636,500,500,True,True
5,11,4,U+,636,4,636,1261,625,625,True,False
5,11,4,V+,11,5,636,3136,2500,2500,True,False
5,12,0,U+,13,0,13,14,1,1,True,False
5,12,0,V+,12,1,13,17,4,4,True,True
5,12,1,U+,17,1,17,22,5,5,True,False
5,12,1,V+,12,2,17,37,20,20,True,True
5,12,2,U+,37,2,37,62,25,25,True,False
5,12,2,V+,12,3,37,137,100,100,True,True
5,12,3,U+,137,3,137,262,125,125,True,False
5,12,3,V+,12,4,137,637,500,500,True,True
5,12,4,U+,637,4,637,1262,625,625,True,False
5,12,4,V+,12,5,637,3137,2500,2500,True,False
