power,s_integer,atom,observed,expected,match,repetition_contamination
1,1,2,0,0,True,False
1,1,3,0,0,True,False
1,1,5,0,0,True,False
1,1,7,0,0,True,False
2,1,2,1/18,1/18,True,False
2,1,3,0,0,True,False
2,1,5,0,0,True,False
2,1,7,0,0,True,False
3,1,2,1/1200,1/1200,True,False
3,1,3,0,0,True,False
3,1,5,0,0,True,False
3,1,7,0,0,True,False
4,1,2,1/176400,1/176400,True,False
4,1,3,1/3600,1/3600,True,False
4,1,5,0,0,True,False
4,1,7,0,0,True,False
5,1,2,1/45722880,1/45722880,True,False
5,1,3,0,0,True,False
5,1,5,0,0,True,False
5,1,7,0,0,True,False
6,1,2,1/18441561600,1/18441561600,True,False
6,1,3,1/67737600,1/67737600,True,False
6,1,5,0,0,True,False
6,1,7,0,0,True,False
7,1,2,1/10685567692800,1/10685567692800,True,False
7,1,3,0,0,True,False
7,1,5,0,0,True,False
7,1,7,0,0,True,False
8,1,2,1/8414884558080000,1/8414884558080000,True,False
8,1,3,1/5532468480000,1/5532468480000,True,False
8,1,5,1/16460236800,1/16460236800,True,False
8,1,7,0,0,True,False
9,1,2,1/8646761377013760000,1/8646761377013760000,True,False
9,1,3,0,0,True,False
9,1,5,0,0,True,False
9,1,7,0,0,True,False
10,1,2,1/11237331085567082496000,1/11237331085567082496000,True,False
10,1,3,1/1319453898706944000,1/1319453898706944000,True,False
10,1,5,0,0,True,False
10,1,7,0,0,True,False
1,2,2,0,0,True,False
1,2,3,0,0,True,False
1,2,5,0,0,True,False
1,2,7,0,0,True,False
2,2,2,1/648,1/648,True,False
2,2,3,0,0,True,False
2,2,5,0,0,True,False
2,2,7,0,0,True,False
3,2,2,1/4320000,1/4320000,True,False
3,2,3,0,0,True,False
3,2,5,0,0,True,False
3,2,7,0,0,True,False
4,2,2,1/124467840000,1/124467840000,True,False
4,2,3,1/51840000,1/51840000,True,False
4,2,5,0,0,True,False
4,2,7,0,0,True,False
5,2,2,1/10452908777472000,1/10452908777472000,True,False
5,2,3,0,0,True,False
5,2,5,0,0,True,False
5,2,7,0,0,True,False
6,2,2,1/2040547165479567360000,1/2040547165479567360000,True,False
6,2,3,1/27530294722560000,1/27530294722560000,True,False
6,2,5,0,0,True,False
6,2,7,0,0,True,False
7,2,2,1/799269498421877806202880000,1/799269498421877806202880000,True,False
7,2,3,0,0,True,False
7,2,5,0,0,True,False
7,2,7,0,0,True,False
8,2,2,1/566482257006505895146291200000000,1/566482257006505895146291200000000,True,False
8,2,3,1/244865659857548083200000000,1/244865659857548083200000000,True,False
8,2,5,1/2167515164096593920000,1/2167515164096593920000,True,False
8,2,7,0,0,True,False
9,2,2,1/672898340799152055018857064038400000000,1/672898340799152055018857064038400000000,True,False
9,2,3,0,0,True,False
9,2,5,0,0,True,False
9,2,7,0,0,True,False
10,2,2,1/1262776099266522647454419588772695900160000000,1/1262776099266522647454419588772695900160000000,True,False
10,2,3,1/17409585908129544374351938191360000000,1/17409585908129544374351938191360000000,True,False
10,2,5,0,0,True,False
10,2,7,0,0,True,False
